wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
een	een	Art(indef)
droevich	droevig	Adj()
liet	laten	v(fin,past,aux_cop)
wat	wat	pron(inter)
binnen	binnen	Adv(gener)
antwerpen	antwerpen	v(infin)
is	zijn	V(fin,pres,aux_cop)
gheschiet	geschieden	V(participle,past)
men	men	pron(indef)
sach	zien	V(fin,past,lex)
daer	daar	adv(dem)
karmen	kermen	n(sing)
en	ne	adv(neg)
weenen	wenen	v(fin,pres,lex)
om	om	adp()
dat	dat	pron(dem)
de	de	Art(def)
spaengiaerts	spanjaard	N(prop)
brochten	brengen	V(fin,past,lex)
int	in+het	Adp()+Art(def)
verdriet	verdriet	n(sing)
die	de	art(def)
burghers	burger	N(plu)
alghemeyne	algemeen	adv(gener)
groot	groot	Adj()
en	en	Conj(coord)
cleyne	klein	adj()
als	als	Conj(comp)
nu	nu	Adv(dem)
by	bij	Adp()
moock	monnik	N(sing)
was	zijn	v(fin,past,aux_cop)
ghedaen	doen	v(participle,past)
die	de	art(def)
slach	slag	n(sing)
daer	daar	adv(dem)
na	na	adp()
men	men	pron(indef)
thantwerpen	te+antwerpen	Adp()+N(prop)
groot	groot	adj()
jammer	jammer	n(sing)
sach	zien	v(fin,past,lex)
van	van	adp()
dukdalfs	dukdalf	n(prop)
ruyteren	ruïneren	n(plu)
ende	en	conj(coord)
knechten	knecht	n(plu)
antwerpen	antwerpen	v(infin)
te	te	Adp()
berooven	beroven	V(infin)
maeckten	maken	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
een	een	Art(indef)
verdrach	verdragen	N(sing)
tweendertich	42	num(card)
vendelen	handelen	V(infin)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
rechten	recht	V(infin)
monchassen	mogen+zij+zij	N(plu)
en	en	Conj(coord)
spechten	specht	V(infin)
d	de	Art(def)
'	?	punc(quest)
opperste	opperst	Adj()
van	van	adp()
tcasteel	het+kasteel	Art(def)+N(sing)
had	hebben	v(fin,past,aux_cop)
haer	haar	Pron(poss)
eedt	eed	N(sing)
ghedaen	doen	V(participle,past)
als	als	Conj(comp)
sy	zij	Pron(pers,3,plu)
graef	graaf	N(sing)
lodewijck	lodewijk	Adv(gener)
hadden	hebben	V(fin,past,aux_cop)
verslaen	verslaan	v(infin)
souden	zullen	v(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
van	van	Adp()
antwerpen	antwerpen	N(prop)
voorschreven	voorschreven	Adj()
haer	haar	Pron(poss)
oude	oud	adj()
betalinghe	betaling	N(plu)
heel	heel	adv(gener)
ontfaen	ontvangen	V(participle,past)
sy	zij	Pron(pers,3,plu)
en	ne	adv(neg)
souden	zullen	V(fin,past,aux_cop)
om	om	adp()
lijf	lijf	n(sing)
en	en	Conj(coord)
leven	leven	n(sing)
tvelt	het+veld	Art(def)+N(sing)
niet	niet	Adv(neg)
begheven	begeven	v(infin)
die	de	Art(def)
spangiaers	spanjaard	N(plu)
zijn	zijn	V(fin,pres,aux_cop)
ghecomen	komen	V(participle,past)
met	met	Adp()
ghewelt	geweld	N(sing)
tweendertich	42	num(card)
vendlen	handelen	V(infin)
waren	zijn	v(fin,past,aux_cop)
daer	daar	adv(dem)
