wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
een	een	Art(indef)
nieu	nieuw	Adj()
liedt	lied	N(sing)
wat	wat	Pron(rel)
in	in	adp()
julius	julius	n(prop)
is	zijn	V(fin,pres,aux_cop)
gheschiet	geschieden	v(participle,past)
van	van	Adp()
d	de	Art(def)
'	?	punc(quest)
admirant	admirant	N(sing)
van	van	Adp()
d	d	Art(def)
'	?	punc(quest)
admirant	admirant	N(sing)
hoe	hoe	adv(inter)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
quam	komen	V(fin,past,lex)
al	al	Adv(gener)
int	in+het	Adp()+Art(def)
verdriet	verdriet	n(sing)
in	in	adp()
vlaenderlant	vlaanderland	N(prop)
mauritz	maurits	N(prop)
heeft	hebben	v(fin,pres,aux_cop)
een	een	art(indef)
tocht	toch	N(sing)
ghedaen	doen	v(participle,past)
met	met	Adp()
ruyters	ruiter	N(plu)
knechten	knecht	n(plu)
onbelaen	onbevangen	Adj()
o	o	Interj()
admirant	admirant	N(sing)
o	o	interj()
admirant	admirant	N(sing)
hy	hij	Pron(pers,3,sing)
sette	zetten	V(fin,pres,lex)
syn	zijn	Pron(poss)
volck	volk	n(sing)
te	te	Adp()
schepe	schip	N(sing)
aen	aan	adp()
in	in	adp()
vlaenderlant	vlaanderland	N(prop)
al	al	adv(gener)
meer	meer	num(indef)
dan	dan	conj(comp)
met	met	adp()
twee	twee	num(card)
duysent	duizend	Num(card)
scheep	schip	N(sing)
mauritz	maurits	N(prop)
zynen	zijn	Pron(poss)
aenslach	aanslag	n(sing)
begreep	begrijpen	V(fin,pres,lex)
den	de	Art(def)
admirant	admirant	N(sing)
den	de	art(def)
admirant	admirant	N(sing)
most	moeten	v(fin,past,aux_cop)
danssen	dansen	pron(dem)+adv(neg)+v(fin,pres,aux_cop)
also	alzo	adv(dem)
mauritz	maurits	n(prop)
peep	reep	v(fin,past,lex)
in	in	adp()
vlaenderlant	vlaanderland	N(prop)
het	het	pron(pers,3,sing)
was	zijn	v(fin,past,aux_cop)
wel	wel	adv(gener)
stout	stout	adj()
gheavontuert	avonturen	v(participle,past)
op	op	Adp()
s	sint	Art(def)
'	?	punc(quest)
vyants	vijand	N(sing)
bodem	bodem	n(sing)
krijch	krijg	adj()
ghevuert	voeren	V(participle,past)
den	de	art(def)
admirant	admirant	N(sing)
den	de	art(def)
admirant	admirant	n(sing)
die	die	Pron(rel)
heeft	hebben	V(fin,pres,aux_cop)
het	het	pron(pers,3,sing)
met	met	Adp()
sijn	zijn	Pron(poss)
volck	volk	N(sing)
besuert	bezuren	V(fin,pres,lex)
in	in	Adp()
vlaenderlant	vlaanderland	N(prop)
doen	doen	V(infin)
nu	nu	adv(dem)
albertus	albertus	Adv(gener)
dit	dit	pron(dem)
vernam	vernemen	v(fin,past,lex)
wert	worden	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
seer	zeer	Adv(gener)
toornich	toornig	Adv(gener)
ende	en	conj(coord)
gram	gram	adj()
den	de	art(def)
admirant	admirant	n(sing)
den	de	art(def)
admirant	admirant	N(sing)
ras	ras	Adv()
met	met	Adp()
sijn	zijn	Pron(poss)
volck	volk	N(sing)
nae	na	Adp()
