looft	loven	V(imp)
godt	god	N(sing)
den	de	Art(def)
heer	heer	N(sing)
diet	die+het	Pron(rel)+Pron(pers,3,sing)
alle	al	Num(indef)
geeft	geven	v(fin,pres,lex)
waer	waar	V(fin,past,aux_cop)
voor	voor	Adp()
hemel	hemel	N(sing)
en	en	Conj(coord)
aerde	aarde	N(sing)
beeft	beven	V(fin,pres,lex)
ten	te+de	art(def)+adp()
spijt	spijt	n(sing)
van	van	adp()
ons	wij	Pron(poss)
vyanden	vijand	N(plu)
die	de	Pron(rel)
triumphe	triomferen	n(sing)
gegeven	geven	v(participle,past)
heeft	hebben	V(fin,pres,aux_cop)
dees	deze	Pron(dem)
trou	trouw	N(sing)
vereende	verenen	Adj()
landen	land	N(plu)
o	o	Interj()
kloecke	kloek	Adj()
batavieren	bataaf	N(plu)
klaer	klaar	Adj()
die	die	pron(rel)
minder	minder	adj()
als	als	conj(comp)
een	een	art(indef)
loopent	lopen	n(sing)
jaer	jaar	n(sing)
vernielt	vernielen	V(fin,pres,lex)
het	het	Art(def)
rijck	rijk	N(sing)
van	van	Adp()
spangien	spanje	N(prop)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
nu	nu	Adv(dem)
singhen	zingen	V(infin)
openbaer	openbaar	Adv(gener)
vive	vive	Misc()
la	lauw	Misc()
prins	prins	N(sing)
d	de	Art(def)
'	?	punc(quest)
orangien	oranje	N(prop)
de	de	Art(def)
mogend	mogen	N(plu)
'	?	punc(quest)
staten	staat	v(infin)
generael	generaal	N(sing)
jae	ja	Interj()
steden	stad	N(plu)
leden	lijden	N(plu)
principael	principaal	Adj()
door	door	Adp()
ons	wij	Pron(pers,1,plu)
veldtheer	hij+vellen	N(sing)
vol	vol	Adj()
trouwen	trouw	n(sing)
toe	toe	adp()
rusten	rusten	v(infin)
scheepen	schepen	v(infin)
al	al	adv(gener)
te	te	adp()
mael	maal	n(sing)
tot	tot	Adp()
lof	lof	N(sing)
vant	van+het	Adp()+Art(def)
huys	huis	N(sing)
nassouwen	nassau	N(prop)
den	de	art(def)
e	e	N(sing)
generael	generaal	adj()
hendrick	einden+ik	n(sing)
loncq	long	n(sing)
unt	ont	Adp()
liefde	liefde	n(sing)
dese	deze	pron(dem)
reys	reis	n(sing)
aenvonck	aanvangen	v(fin,past,lex)
om	om	Adp()
zijn	zijn	Pron(poss)
vyandt	vijand	N(sing)
te	te	Adp()
krencken	krenken	V(infin)
de	de	Art(def)
eer	eer	N(sing)
die	die	Pron(rel)
hy	hij	Pron(pers,3,sing)
hier	hier	Adv(dem)
in	in	Adp()
begonck	begang	n(sing)
men	men	pron(indef)
langhe	lang	adv(gener)
sal	zullen	v(fin,pres,aux_cop)
ghedencken	gedenken	v(infin)
den	de	art(def)
collonel	kolom	n(sing)
van	van	adp()
waerdenburgh	woord	N(sing)
heeft	hebben	v(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
ghequeten	kwijten	V(participle,past)
sonder	zonder	adp()
surgh	zorg	n(sing)
als	als	conj(comp)
een	een	art(indef)
heldt	held	N(sing)
boven	boven	Adp()
maten	maat	N(sing)
hy	hij	Pron(pers,3,sing)
wan	winnen	V(fin,past,lex)
victory	victorie	n(prop)
daer	daar	Adv(dem)
deur	door	Adp()
met	met	Adp()
al	al	Adv(gener)
zijn	zijn	Pron(poss)
soldaten	soldaat	N(plu)
lof	lof	N(sing)
zy	zij	Pron(pers,3,sing)
d	de	Art(def)
'	?	punc(quest)
overste	overst	adj()
luytenants	luitenant	n(sing)
eltzen	elk	v(infin)
steyn	steen	n(sing)
calenfels	calopus	n(sing)
valjant	valjant	n(sing)
met	met	adp()
hour	haar	Pron(poss)
major	maar	n(sing)
in	in	adp()
vreden	vrede	n(sing)
die	die	pron(rel)
om	om	adp()
dat	dat	art(def)
lieve	lief	adj()
vaderlandt	vaderland	n(sing)
manhaft	mandaat	n(sing)
hebben	hebben	v(infin)
gestreden	strijden	v(participle,past)
lof	lof	N(sing)
zy	zij	Pron(pers,3,sing)
crijgshelden	krijgslieden	V(fin,past,lex)
over	over	Adp()
al	al	Adv(gener)
en	ne	adv(neg)
kloeck	kloek	Adj()
matroosen	matroos	N(plu)
int	in+het	Adp()+Art(def)
ghetal	getal	n(sing)
die	die	pron(rel)
op	op	Adp()
'	?	punc(quest)
t	het	Art(def)
strant	strand	N(sing)
moesten	moeten	V(fin,past,aux_cop)
waecken	waken	V(infin)
int	in+het	Adp()+Art(def)
natte	nat	n(sing)
koud	koude	n(sing)
'	?	punc(quest)
en	en	Conj(coord)
ongheval	ongeval	N(sing)
eer	eer	conj(subord)
men	men	pron(indef)
de	de	Art(def)
stadt	stad	N(sing)
kon	kunnen	N(sing)
naecken	naken	V(infin)
door	door	Adp()
rio	rijf	N(sing)
dolce	doek	N(sing)
een	een	art(indef)
revier	rivier	n(sing)
passeerden	passeren	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
met	met	Adp()
groot	groot	Adj()
dangier	dangier	N(sing)
tot	tot	Adp()
haer	haar	pron(poss)
middel	middel	N(sing)
by	bij	adp()
desen	deze	pron(dem)
doen	doen	adv(dem)
vonden	vinden	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
aen	aan	Adp()
elck	elk	Pron(indef)
quartier	kwartier	Adj()
de	de	Art(def)
stadt	stad	N(sing)
beset	bezetten	V(fin,pres,lex)
te	te	adp()
wesen	zijn	v(infin)
aan	aan	adp()
alle	al	num(indef)
oorden	oord	N(plu)
vande	van+de	Adp()+Art(def)
stadt	stad	N(sing)
speckjan	spek	N(sing)
hem	hij	Pron(pers,3,sing)
wel	wel	adv(gener)
betrencheet	betering	n(sing)
hadt	hebben	V(fin,past,aux_cop)
en	ne	adv(neg)
versien	verzien	v(fin,pres,lex)
met	met	Adp()
soldaten	soldaat	N(plu)
maer	maar	Conj(coord)
doen	doen	V(infin)
de	de	Art(def)
bataviers	bataaf	n(prop)
aen	aan	Adp()
trat	treden	n(sing)
mosten	moeten	V(fin,past,aux_cop)
zijt	zijn	V(fin,pres,aux_cop)
haest	haast	Adv(gener)
verlaten	verlaten	V(infin)
ons	wij	Pron(poss)
helden	houden	V(infin)
vielen	vallen	V(fin,past,lex)
dapper	dapper	Adj()
aen	aan	Adp()
met	met	Adp()
schieten	schieten	N(plu)
houwen	houwen	v(infin)
ende	en	conj(coord)
slaen	slaan	v(infin)
en	en	Conj(coord)
oock	ook	Adv(gener)
canons	kunnen	N(prop)
gheruchten	gerucht	V(infin)
zoo	zo	Adv(resum)
dat	dat	Conj(subord)
zy	zij	Pron(pers,3,sing)
mosten	moeten	V(fin,past,aux_cop)
wijcken	wijk	V(infin)
gaen	gaan	V(infin)
by	bij	Adp()
de	de	Art(def)
bosschagie	bosschage	N(sing)
vluchten	vluchten	V(infin)
casteelen	kasteel	n(sing)
forten	poort	N(plu)
alle	al	Num(indef)
gaer	gaar	v(fin,pres,lex)
in	in	Adp()
min	mijn	Num(indef)
als	als	conj(comp)
veerthien	veertien	V(infin)
daegh	dag	N(sing)
daer	daar	Adv(dem)
naer	naar	adv(gener)
met	met	Adp()
ackoort	akkoord	N(sing)
over	over	adp()
ghingen	gaan	v(fin,past,lex)
dus	dus	adv(dem)
machmen	men+mogen	pron(indef)+v(fin,pres,aux_cop)
wel	wel	adv(gener)
int	in+het	Adp()+Art(def)
openbaer	openbaar	Adv(gener)
een	een	Art(indef)
victory	victorie	N(sing)
liedt	lied	N(sing)
singhen	zingen	V(infin)
olinda	olifant	Adj()
maeckt	maken	V(fin,pres,lex)
ons	ons	Pron(poss)
herten	hart	n(sing)
vro	vro	adj()
de	de	art(def)
hoofstadt	hoofdstad	n(sing)
van	van	adp()
fernambuco	pergamo	n(prop)
verovert	verbeuren	v(participle,past)
met	met	Adp()
kleyn	klein	adj()
schaden	schade	N(sing)
de	de	Art(def)
batavieren	bataaf	n(prop)
vechten	vechten	V(infin)
soo	zo	Adv(resum)
alleen	alleen	Adv(gener)
door	door	Adp()
gods	god	N(sing)
ghenaden	genade	N(sing)
dit	dit	pron(dem)
al	al	adv(gener)
geschiet	geschieden	V(fin,pres,lex)
door	door	Adp()
godes	god	N(sing)
wil	wil	N(sing)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
het	het	Art(def)
lichaem	lichaam	N(sing)
van	van	adp()
brasil	fraai	N(prop)
vast	vast	Adj()
soecken	zoeken	V(infin)
in	in	Adp()
te	te	Adp()
booren	voren	V(infin)
daer	daar	adv(dem)
speckjan	spek	n(sing)
triumpheerde	triomferen	n(sing)
stil	stil	n(sing)
komen	komen	V(infin)
wy	wij	Pron(pers,1,plu)
hem	hij	Pron(pers,3,sing)
verstooren	verstoren	V(infin)
