wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
doch	doch	Adv(gener)
nu	nu	Adv(dem)
beklaghen	beklagen	V(infin)
ons	wij	Pron(poss)
borghers	burger	N(plu)
wel	wel	Adv(gener)
bekant	bekend	Adj()
want	want	Conj(coord)
wy	wij	Pron(pers,1,plu)
onsselven	onszelf	Pron(refl,1,plu)
jaghen	jagen	V(infin)
al	al	Adv(gener)
uut	uit	Adp()
ons	wij	Pron(poss)
eyghen	eigen	adj()
lant	land	n(sing)
ons	wij	Pron(poss)
huysen	huis	V(infin)
end	en	Conj(coord)
boomgaerden	boomgaard	N(plu)
verlaten	verlaten	V(infin)
wy	wij	Pron(pers,1,plu)
metter	de+met	Adp()+Art(def)
spoet	spoed	N(sing)
beminnen	beminnen	v(infin)
de	de	Art(def)
spaengiaerden	spanjaard	N(plu)
die	die	pron(rel)
niemandt	niemand	Pron(indef)
en	en	adv(neg)
doen	doen	V(infin)
goet	goed	adj()
had	hebben	V(fin,past,aux_cop)
ons	wij	pron(pers,1,plu)
de	de	Art(def)
geus	geus	N(sing)
verdreven	verdrijven	V(participle,past)
als	als	Conj(comp)
sy	zij	Pron(pers,3,plu)
wel	wel	Adv(gener)
worden	worden	V(fin,past,aux_cop)
ghedaen	doen	V(participle,past)
soo	zo	Adv(resum)
waer	waar	V(fin,past,aux_cop)
hem	hij	Pron(pers,3,sing)
schuldt	schuld	v(fin,pres,lex)
te	te	adp()
gheven	geven	v(infin)
maer	maar	Conj(coord)
wy	wij	Pron(pers,1,plu)
zijn	zijn	V(fin,pres,aux_cop)
selffs	zelf	Pron(refl,1,plu)
ghegaen	gaan	V(participle,past)
wy	wij	Pron(pers,1,plu)
en	ne	Adv(neg)
dorven	durven	V(infin)
niemandt	niemand	N()
vloecken	vloeken	V(infin)
t	het	Art(def)
'	?	punc(quest)
coemt	komen	V(fin,pres,lex)
door	door	Adp()
ons	wij	Pron(poss)
eyghen	eigen	Adj()
raet	raad	n(sing)
dat	dat	Conj(subord)
wy	wij	Pron(pers,1,plu)
in	in	adp()
allen	al	Num(indef)
hoecken	hoek	n(plu)
nu	nu	adv(dem)
sitten	zitten	v(infin)
desperaet	desperaat	V(participle,past)
doen	toen	V(infin)
wy	wij	Pron(pers,1,plu)
ons	wij	Pron(pers,1,plu)
goet	goed	Adj()
verlieten	verlaten	V(infin)
doen	toen	v(infin)
hadden	hebben	V(fin,past,aux_cop)
wy	wij	Pron(pers,1,plu)
ghepast	passen	V(participle,past)
die	de	Art(def)
geus	geus	n(sing)
te	te	Adp()
zien	zien	V(infin)
vernieten	vernieten	V(infin)
te	te	Adp()
