o	o	interj()
haegh	hoog	N(sing)
lustigh	lustig	Adj()
prieel	briel	N(sing)
ghy	gij	Pron(pers,2,plu)
maket	maken	v(fin,pres,lex)
alte	al+te	num(indef)+adv(gener)
veel	veel	num(indef)
dat	dat	conj(subord)
ghy	gij	Pron(pers,2,sing)
gods	god	N(sing)
uutvercoren	uitverkiezen	V(participle,past)
doot	dood	n(sing)
want	want	Conj(coord)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
zijn	zijn	Pron(poss)
erfdeel	erfdeel	N(sing)
ghy	gij	Pron(pers,2,plu)
verwect	verwekken	V(fin,pres,lex)
hem	hij	Pron(pers,3,sing)
gheheel	geheel	Adv(gener)
tot	tot	Adp()
gramschap	gramschap	N(sing)
ende	en	conj(coord)
toren	toorn	n(sing)
want	want	conj(subord)
ghy	gij	Pron(pers,2,sing)
brant	brand	N(sing)
ende	en	Conj(coord)
blaeckt	blaken	V(fin,pres,lex)
en	en	adv(neg)
stelt	stellen	v(fin,pres,lex)
gods	god	N(sing)
volck	volk	N(sing)
mismaeckt	mismaken	V(fin,pres,lex)
waer	waar	V(fin,past,aux_cop)
door	door	Adp()
u	gij	Pron(poss)
quaet	kwaad	N(sing)
vermeeret	vermeren	V(participle,past)
des	dat	Art(def)
u	gij	Pron(poss)
verderf	verderf	N(sing)
genaeckt	genaken	V(participle,past)
so	zo	Adv(resum)
ghy	gij	Pron(pers,2,plu)
sulcx	zulk	Pron(dem)
niet	niet	Adv(neg)
en	ne	Adv(neg)
staeckt	het+steken	V(fin,pres,lex)
en	en	adv(neg)
van	van	Adp()
boosheyt	boosheid	N(sing)
u	gij	Pron(poss)
keeret	keren	V(fin,pres,lex)
want	want	Conj(coord)
vier	vier	num(card)
pastoors	pastoor	n(prop)
int	het+in	art(def)+adp()
lant	land	n(sing)
die	die	pron(rel)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
daer	daar	Adv(dem)
gebrant	branden	v(participle,past)
is	zijn	v(fin,pres,aux_cop)
dit	dit	pron(dem)
niet	niet	adv(neg)
te	te	adp()
beclaghen	beklagen	v(infin)
van	van	adp()
iselmont	hazelnoot	n(prop)
bekant	bekend	adj()
lier	hier+lezen	N(sing)
end	en	Conj(coord)
monster	monster	N(sing)
this	het+is	Pron(pers,3,sing)+V(fin,pres,aux_cop)
schant	schande	n(sing)
en	en	Conj(coord)
die	de	Pron(rel)
pastoor	pastoor	N(sing)
van	van	adp()
schaghen	schacht	n(plu)
die	die	Pron(rel)
vroom	vroom	Adj()
hebben	hebben	V(fin,pres,aux_cop)
haer	haar	Pron(poss)
bloet	bloed	N(sing)
om	om	Adp()
christi	christus	n(prop)
wille	wil	N(sing)
goet	goed	adj()
ghestort	storten	v(participle,past)
sonder	zonder	adp()
bezwaren	bezwaar	v(infin)
dat	dat	pron(dem)
deed	doen	V(fin,past,lex)
ghy	gij	Pron(pers,2,plu)
spaus	de+paus	Art(def)+N(sing)
gebroet	gebruiken	Adj()
dwelc	de+welke	Pron(rel)
ick	ik	Pron(pers,1,sing)
met	met	Adp()
herten	hart	N(sing)
soet	zoet	Adj()
sal	zullen	v(fin,pres,aux_cop)
singhen	zingen	v(infin)
en	en	Conj(coord)
verclaren	verklaren	V(infin)
anno	hanna	n(prop)
tseventich	???	Art(def)+N(sing)
reyn	rein	Adj()
den	de	Art(def)
twaelfden	twaalf	Num(ord)
mey	mei	Adv(gener)
certeyn	certein	n(plu)
sijn	zijn	Pron(poss)
papen	paap	n(plu)
ende	en	conj(coord)
heeren	heer	N(plu)
ghecomen	komen	v(participle,past)
in	in	Adp()
dat	dat	art(def)
pleyn	plein	n(sing)
by	bij	Adp()
dees	deze	Pron(dem)
schaepkens	schaap	N(plu)
seer	zeer	Adv(gener)
cleyn	klein	Adj()
om	om	Adp()
hen	zij	pron(pers,3,plu)
texamineren	komen+te	N(plu)
al	al	adv(gener)
waren	zijn	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
geplaecht	plagen	V(participle,past)
theeft	het+heeft	Pron(dem)+V(fin,pres,aux_cop)
hen	zij	pron(pers,3,plu)
seer	zeer	Adv(gener)
wel	wel	adv(gener)
behaecht	behagen	V(participle,past)
al	al	Adv(gener)
voor	voor	Adp()
den	de	Art(def)
raet	raad	N(sing)
te	te	adp()
comen	komen	V(infin)
sy	zij	Pron(pers,3,plu)
hebbent	hebben+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
vry	vrij	Adj()
gewaecht	wachten	V(participle,past)
in	in	Adp()
gods	god	N(sing)
naem	naam	n(sing)
onversaecht	onversaagd	Adj()
en	en	adv(neg)
waren	zijn	v(fin,past,aux_cop)
sonder	zonder	adp()
schromen	schromen	n(sing)
die	de	Pron(rel)
sophisten	sofisme	N(plu)
seer	zeer	Adv(gener)
quaet	kwaad	Adj()
vraechden	vragen	N(plu)
met	met	Adp()
strang	strang	N(sing)
ghelaet	gelaat	V(participle,past)
waerom	waarom	pronadv(inter)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
uuttoghen	getuigen	v(infin)
dat	dat	Conj(subord)
schoone	schoon	adj()
misghewaedt	muskeliaat	V(participle,pres)
dwelck	de+welke	Art(def)+Pron(rel)
sy	zij	Pron(pers,3,plu)
hadden	hebben	V(fin,past,aux_cop)
met	met	Adp()
smaedt	smaad	N(sing)
gheworpen	werpen	V(participle,past)
tvolck	het+volk	Art(def)+N(sing)
voor	voor	Adp()
ooghen	oog	N(plu)
doen	doen	V(infin)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gheseyt	zeggen	V(participle,past)
dat	dat	Conj(subord)
en	ne	adv(neg)
is	zijn	v(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
niet	niet	Adv(neg)
leyt	liggen	v(fin,pres,lex)
de	de	Art(def)
mis	mis	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
ons	wij	Pron(pers,1,plu)
verdroten	verdrieten	V(participle,past)
te	te	adp()
doen	doen	v(infin)
dat	dat	art(def)
grousaem	gruwzaam	n(sing)
feyt	feit	n(sing)
daer	daar	Adv(dem)
christi	christus	n(prop)
weerdicheyt	waardigheid	N(sing)
heel	heel	Adv(gener)
booslick	booslijk	Adv(gener)
wort	worden	V(fin,pres,aux_cop)
verstooten	verstoten	V(participle,past)
oock	ook	Adv(gener)
van	van	Adp()
thoulick	het+volk	Art(def)+N(sing)
eerbaer	eerbaar	Adj()
en	en	Conj(coord)
sacramenten	sacrament	N(plu)
claer	klaar	Adj()
daer	daar	Adv(dem)
van	van	adp()
hen	zij	pron(pers,3,plu)
die	de	art(def)
sophisten	sofisme	n(plu)
vraechden	vragen	v(fin,past,lex)
int	in+het	Adp()+Art(def)
openbaer	openbaar	Adv(gener)
en	en	Conj(coord)
oft	of	Conj(coord)
de	de	Art(def)
paus	paus	N(sing)
voorwaer	voorwaar	Adv(gener)
hen	zij	Pron(pers,3,plu)
docht	dunken	Adv(gener)
te	te	Adp()
zijn	zijn	v(infin)
een	een	Art(indef)
christen	christen	N(prop)
dantwoort	daaromtrent	N(sing)
dat	dat	pron(dem)
was	zijn	v(fin,past,aux_cop)
so	zo	adv(dem)
fier	fier	adj()
al	al	adv(gener)
na	na	adp()
des	de	art(def)
schrifts	schrift	N(sing)
manier	manier	n(sing)
van	van	Adp()
dees	deze	Pron(dem)
schaepkens	schaap	N(plu)
gegeven	geven	V(participle,past)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
al	al	Adv(gener)
tot	tot	Adp()
het	het	Art(def)
vyer	vuur	N(sing)
gheoordeelt	oordelen	v(participle,past)
werden	worden	V(fin,past,aux_cop)
schier	schier	adv(gener)
om	om	Adp()
te	te	Adp()
brenghen	brengen	v(infin)
om	om	Adp()
tleven	het+leven	Art(def)+N(sing)
een	een	Art(indef)
bevende	bevend	adj()
verflout	verflauwen	V(participle,past)
schreef	schrijven	n(sing)
tantwoort	tervaart	n(sing)
menichfout	menigvoud	Adv(gener)
tot	tot	Adp()
dees	deze	Pron(dem)
schaepkens	schaap	N(plu)
vercrencken	verkrijgen	V(infin)
doen	toen	V(infin)
sprack	spreken	v(fin,past,lex)
een	een	art(indef)
broeder	broeder	N(sing)
stout	stout	adj()
waerom	waarom	PronAdv(inter)
zijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
benout	benauwd	V(fin,pres,lex)
wilt	willen	V(fin,pres,aux_cop)
dees	deze	Pron(dem)
saeck	zaak	N(sing)
overdencken	overdenken	V(participle,past)
beeft	beven	V(fin,pres,lex)
dan	dan	adv(dem)
als	als	Conj(subord)
ghy	gij	Pron(pers,2,sing)
sult	zullen	V(fin,pres,aux_cop)
staen	staan	V(infin)
om	om	Adp()
loon	loon	N(sing)
na	na	Adp()
werck	werk	N(sing)
tontfaen	te+ontvangen	Adp()+V(infin)
voor	voor	Adp()
gods	god	N(sing)
rechtveerdich	rechtvaardig	Adj()
oordeel	oordeel	n(sing)
daer	daar	Adv(dem)
ghy	gij	Pron(pers,2,sing)
moet	moeten	V(fin,pres,aux_cop)
op	op	Adp()
den	de	art(def)
plaen	plegen	N(plu)
en	en	adv(neg)
niet	niet	Adv(neg)
en	ne	adv(neg)
moecht	mogen	v(fin,past,aux_cop)
ontgaen	ontgaan	v(infin)
blau	blauw	adj()
onschult	onschuld	n(sing)
doet	doen	V(fin,pres,lex)
gheen	geen	Pron(indef)
voordeel	voordeel	N(sing)
de	de	Art(def)
schaepkens	schaap	N(plu)
seer	zeer	Adv(gener)
benijt	benijden	V(fin,pres,lex)
scheiden	scheiden	v(infin)
so	zo	Adv(resum)
uut	uit	adp()
dat	dat	art(def)
crijt	krijt	n(sing)
om	om	adp()
hen	zij	pron(pers,3,plu)
voorts	voorts	Adv(gener)
te	te	Adp()
bereyden	bereiden	v(infin)
al	al	adv(gener)
totter	tot+de	adp()+art(def)
doot	dood	n(sing)
met	met	adp()
vlijdt	vlijt	N(sing)
want	want	conj(coord)
haren	haar	pron(poss)
laetsten	laatst	adj()
tijdt	tijd	N(sing)
die	die	pron(rel)
was	zijn	v(fin,past,aux_cop)
na	na	adp()
by	bij	Adp()
om	om	Adp()
scheyden	scheiden	V(infin)
sy	zij	Pron(pers,3,plu)
wilden	willen	V(fin,past,aux_cop)
vreesen	vrezen	v(infin)
niet	niet	adv(neg)
die	de	Art(def)
tlichaem	het+lichaam	Art(def)+N(sing)
dooden	doden	n(plu)
siet	zien	V(fin,pres,lex)
maer	maar	Conj(coord)
die	de	art(def)
lijf	lijf	n(sing)
ende	en	conj(coord)
zielen	ziel	n(sing)
in	in	adp()
dat	het	art(def)
helsche	hels	adj()
gebiet	gebieden	n(sing)
can	kunnen	v(fin,pres,aux_cop)
werpen	werpen	v(infin)
met	met	Adp()
verdriet	verdriet	N(sing)
en	en	Conj(coord)
eewichlick	eeuwelijk	Adv(gener)
vernielen	vernielen	V(infin)
de	de	Art(def)
bisschop	bisschop	N(sing)
onvervaert	onvervaard	adj()
van	van	adp()
den	de	art(def)
bosch	bos	n(sing)
wijt	wijd	Adj()
vermaert	vermaard	v(fin,pres,lex)
met	met	Adp()
twee	twee	Num(card)
abten	abt	N(sing)
beneven	beneven	Adp()
is	zijn	v(fin,pres,aux_cop)
comen	komen	v(participle,past)
onghespaert	ongebaard	adj()
in	in	adp()
mey	mei	num(indef)
tmoet	gemoed	N(sing)
zijn	zijn	Pron(poss)
verclaert	verklaren	V(participle,past)
den	de	Art(def)
twintichsten	twintigst	Num(card)
en	en	Conj(coord)
seven	zeven	num(card)
den	de	Art(def)
raet	raad	n(sing)
werde	worden	V(fin,past,aux_cop)
versaemt	verzamenen	v(participle,past)
van	van	Adp()
dees	deze	Pron(dem)
heeren	heer	N(sing)
voornaemt	vernoemen	N(sing)
als	als	conj(subord)
men	men	pron(indef)
soude	zullen	v(fin,past,aux_cop)
ontwieden	ontbieden	v(infin)
dees	deze	Pron(dem)
schaepkens	schaap	N(plu)
wel	wel	Adv(gener)
befaemt	befaamd	Adj()
int	het+in	art(def)+adp()
secreet	secreet	n(sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
gheraemt	geraakt	V(participle,past)
this	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
schandt	schande	N(sing)
voor	voor	Adp()
allen	al	num(indef)
lieden	lieden	n(plu)
de	de	art(def)
dienaers	dienaar	n(plu)
die	die	Pron(rel)
zijn	zijn	V(fin,pres,aux_cop)
doen	toen	Adv(dem)
ghegaen	gaan	V(participle,past)
met	met	Adp()
herten	hart	N(sing)
coen	koen	adj()
om	om	Adp()
dees	deze	Pron(dem)
onnosel	onnozel	N(sing)
schapen	schaap	N(plu)
daerna	daarna	PronAdv(dem)
wilt	willen	v(fin,pres,aux_cop)
dit	dit	pron(dem)
bevroen	bevroeden	V(infin)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
al	al	Adv(gener)
voor	voor	Adp()
de	de	Art(def)
noen	noen	N(sing)
ghecleet	gekleed	V(participle,past)
ghelijck	gelijk	adv(gener)
de	de	art(def)
papen	paap	N(plu)
en	en	Conj(coord)
gebrocht	brengen	V(participle,past)
hoort	horen	V(imp)
na	na	Adp()
mijn	mijn	Pron(poss)
tot	tot	Adp()
den	de	Art(def)
bisschop	bisschop	n(sing)
die	die	pron(rel)
fijn	fijn	adj()
tusschen	tussen	adp()
dabten	abt+de	n(plu)
was	zijn	v(fin,past,aux_cop)
staende	staan	v(participle,pres)
elc	elk	num(indef)
moest	moeten	v(fin,past,aux_cop)
gemijtert	minderen	v(participle,past)
zijn	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
gestaeft	straffen	V(participle,past)
wat	wat	Pron(inter)
een	een	art(indef)
schijn	schijn	n(sing)
om	om	adp()
twerck	het+werk	art(def)+n(sing)
dat	dat	conj(subord)
doen	toen	adv(dem)
was	zijn	v(fin,past,aux_cop)
gaende	gaan	v(participle,pres)
dat	dat	art(def)
heylichdom	heiligdom	n(prop)
dat	dat	pron(dem)
is	zijn	v(fin,pres,aux_cop)
van	van	adp()
hen	zij	pron(pers,3,plu)
vingeren	vinger	n(plu)
fris	fris	n(sing)
afgheschrapt	afschieten	v(participle,past)
in	in	adp()
onvreden	onvrede	n(sing)
met	met	adp()
een	een	art(indef)
mes	mest	n(sing)
als	als	conj(comp)
een	een	art(indef)
vis	vis	n(sing)
en	en	Conj(coord)
een	een	Art(indef)
lock	look	n(sing)
hayrs	haar	Pron(poss)
gewis	gewis	adj()
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
afghesneden	afsnijden	V(participle,past)
de	de	Art(def)
bisschop	bisschop	N(sing)
de	de	Art(def)
schavuyt	schavot	N(sing)
sprack	spreken	V(fin,past,lex)
wy	wij	Pron(pers,1,plu)
trecken	trekken	V(infin)
u	gij	Pron(pers,2,sing)
uut	uit	Adp()
het	het	pron(pers,3,sing)
cleet	kleed	N(sing)
christi	christus	n(prop)
rechtveerdich	rechtvaardig	adj()
dwelc	de+welke	Pron(rel)
u	gij	Pron(poss)
afval	afhoud	N(sing)
beduyt	beduiden	V(fin,pres,lex)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
van	van	Adp()
christi	christus	N(prop)
bruyt	bruid	N(sing)
gheweken	wijken	V(participle,past)
zijt	zijn	V(fin,pres,aux_cop)
onweerdich	onwaardig	Adj()
een	een	Art(indef)
broeder	broeder	n(sing)
op	op	adp()
dat	dat	art(def)
pas	pas	n(sing)
die	die	Pron(rel)
oock	ook	Adv(gener)
de	de	Art(def)
oudste	oud	N(sing)
was	zijn	V(fin,past,aux_cop)
sprack	spreken	v(fin,past,lex)
doen	toen	V(infin)
dus	dus	Adv(dem)
voor	voor	Adp()
hen	zij	pron(pers,3,plu)
allen	al	Num(indef)
o	o	interj()
bisschop	bisschop	N(sing)
hoort	horen	V(imp)
my	ik	Pron(pers,1,sing)
ras	ras	Adv()
ghy	gij	Pron(pers,2,plu)
weet	weten	V(fin,pres,lex)
wel	wel	Adv(gener)
van	van	adp()
tgebras	het+gepeins	n(prop)
wat	wat	Pron(inter)
wilt	willen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
doch	doch	Adv(gener)
veel	veel	Num(indef)
callen	kallen	V(infin)
de	de	art(def)
bisschop	bisschop	n(sing)
swoer	zweren	Adj()
goet	goed	adj()
ront	rond	Adj()
godt	god	N(sing)
die	die	Pron(rel)
is	zijn	V(fin,pres,aux_cop)
mijn	mijn	pron(poss)
oorcondt	voorhoofd	N(sing)
ick	ik	Pron(pers,1,sing)
can	kunnen	V(fin,pres,aux_cop)
niet	niet	Adv(neg)
anders	anders	adv(gener)
smaken	smaken	v(infin)
leyde	leiden	n(sing)
zijn	zijn	Pron(poss)
handt	hand	N(sing)
terstont	terstond	Adv(gener)
op	op	Adp()
zijn	zijn	Pron(poss)
borst	borst	N(sing)
wat	wat	Pron(inter)
een	een	art(indef)
vont	vinden	N(sing)
om	om	Adp()
tvolck	het+volk	Art(def)+N(sing)
dat	dat	Conj(subord)
wijs	wijs	pron(pers,3,sing)+pron(pers,1,plu)
te	te	adp()
maken	maken	v(infin)
de	de	art(def)
bisschop	bisschop	N(sing)
sprack	spreken	v(fin,past,lex)
doen	doen	V(infin)
hoort	horen	V(imp)
tot	tot	Adp()
den	de	Art(def)
raedt	raad	N(sing)
ongestoort	ongestoord	Adj()
wy	wij	Pron(pers,1,plu)
stellens	stellen	V(fin,pres,lex)
in	in	Adp()
u	uw	Pron(poss)
handen	hand	N(plu)
handelt	handelen	V(imp)
hen	zij	pron(pers,3,plu)
saecht	zacht	V(fin,pres,lex)
nu	nu	Adv(dem)
voort	voorts	Adv(gener)
merckt	merken	V(fin,pres,lex)
doch	doch	Adv(gener)
tgeveynsde	geveinsd	Art(def)+Adj()
woort	woord	N(sing)
want	want	Conj(coord)
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
al	al	Adv(gener)
om	om	Adp()
te	te	Adp()
branden	branden	V(infin)
o	o	interj()
hypocrijten	hypocriet	N(plu)
