wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
een	een	Art(indef)
nieuw	nieuw	Adj()
liet	laten	v(fin,past,aux_cop)
wat	wat	pron(rel)
daer	daar	Adv(dem)
int	het+in	art(def)+adp()
iaer	jaar	n(sing)
van	van	adp()
soevenensestich	gevangenis	n(sing)
is	zijn	v(fin,pres,aux_cop)
geschiet	geschieden	V(participle,past)
hoort	horen	V(imp)
toe	toe	Adp()
ick	ik	Pron(pers,1,sing)
salt	zullen+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
u	gij	Pron(pers,2,sing)
singen	zingen	v(infin)
van	van	adp()
veel	veel	num(indef)
heerschoppen	heerschappij	N(plu)
hoort	horen	V(imp)
na	na	Adp()
mijn	mijn	Pron(poss)
bediet	beduiden	v(fin,pres,lex)
god	god	n(sing)
wil	willen	v(fin,pres,aux_cop)
haer	haar	Pron(poss)
noot	nood	N(sing)
verwinnen	verwinnen	V(infin)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
in	in	Adp()
hollant	holland	N(prop)
te	te	Adp()
schepe	schip	n(sing)
gegaen	gaan	v(participle,past)
om	om	adp()
na	na	adp()
emden	meden	n(sing)
te	te	adp()
trecken	trekken	V(infin)
hoort	horen	V(imp)
mijn	mijn	Pron(poss)
vermaen	vermaning	N(sing)
voor	voor	Adp()
harlingen	verlangen	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gecomen	komen	V(participle,past)
ses	zes	Num(card)
kerveels	kervel	n(prop)
mit	met	adp()
knechten	knecht	n(plu)
gelaen	glas	v(participle,past)
die	de	Pron(rel)
hebbent	hebben+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
so	zo	Adv(resum)
haest	haast	Adv(gener)
vernomen	vernemen	v(participle,past)
doen	doen	V(infin)
de	de	Art(def)
graef	graaf	N(sing)
van	van	Adp()
megen	meden	Num(indef)
te	te	adp()
amstelredam	amsterdam	n(sing)
binnen	binnen	adv(gener)
quam	komen	v(fin,past,lex)
de	de	art(def)
goesen	roos	n(plu)
dit	dit	pron(dem)
so	zo	Adv(resum)
haest	haast	adv(gener)
vernam	vernemen	v(fin,past,lex)
van	van	adp()
amsterdam	amsterdam	n(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
geweecken	gewekken	V(infin)
sy	zij	Pron(pers,3,plu)
togen	togen	V(infin)
na	na	Adp()
meemlick	meenlijk	adv(gener)
al	al	adv(gener)
binnen	binnen	adv(gener)
der	de	art(def)
stadt	stad	n(sing)
aldaer	aldaar	Adv(dem)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
gestreken	strijken	V(participle,past)
die	de	Art(def)
goesen	roos	adj()
waren	zijn	v(fin,past,aux_cop)
in	in	adp()
groter	groot	adj()
noot	nood	n(sing)
daer	daar	adv(dem)
zijnder	zijn+er	Pron(poss)
veel	veel	num(indef)
gebracht	brengen	v(participle,past)
ter	te+de	adp()+art(def)
doot	dood	n(sing)
int	het+in	art(def)+adp()
water	water	N(sing)
zijn	zijn	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
