ick	ik	Pron(pers,1,sing)
hope	hoop	V(fin,pres,lex)
dat	dat	Conj(subord)
den	de	art(def)
tijt	tijd	n(sing)
noch	noch	adv(gener)
comen	komen	v(infin)
sal	zullen	v(fin,pres,aux_cop)
datmen	dat+men	conj(subord)+pron(indef)
sal	zullen	v(fin,pres,aux_cop)
roepen	roepen	v(infin)
over	over	adp()
al	al	Adv(gener)
eendrachtich	eendrachtig	Adj()
voor	voor	Adp()
een	een	Art(indef)
leus	leus	N(sing)
als	als	Conj(comp)
breerode	breken	v(fin,past,lex)
met	met	adp()
blijde	blij	Adj()
gheschal	schallen	n(sing)
vive	vijf	num(card)
vive	vijf	num(card)
le	le	N(sing)
geus	geus	n(sing)
die	de	art(def)
edele	edel	Adj()
heere	heer	n(sing)
van	van	adp()
breeroe	breken	N(sing)
soet	zoet	adj()
metten	de+met	Adp()+Art(def)
graef	graaf	n(sing)
van	van	Adp()
nassou	nassau	N(prop)
dat	dat	art(def)
edel	edel	adj()
bloet	bloed	N(sing)
seer	zeer	Adv(gener)
ingenieus	ingezinde	n(prop)
den	de	Art(def)
grave	graf	n(sing)
van	van	adp()
culenburch	elleboog	n(prop)
metter	de+met	art(def)+adp()
spoet	spoed	n(sing)
vive	vive	num(card)
vive	vive	Misc()
le	le	N(sing)
geus	geus	n(sing)
dese	deze	pron(dem)
hebben	hebben	V(fin,pres,aux_cop)
ons	wij	pron(pers,1,plu)
verlost	verlossen	v(participle,past)
vanden	van+de	Adp()+Art(def)
cardinael	kardinaal	N(sing)
en	en	Conj(coord)
van	van	Adp()
de	de	art(def)
kettermeesters	bitterheid	n(sing)
int	het+in	art(def)+adp()
generael	generaal	N(sing)
vanden	van+de	art(def)+adp()
bisschop	bisschop	N(sing)
seer	zeer	Adv(gener)
pompeus	pompeius	N(sing)
dus	dus	Adv(dem)
roepen	roepen	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
met	met	Adp()
blijschap	blijdschap	N(sing)
altemael	altemaal	Pron(indef)
vive	vijf	num(card)
vive	vijf	num(card)
le	le	N(sing)
geus	geus	N(sing)
sy	zij	Pron(pers,3,plu)
hadden	hebben	V(fin,past,aux_cop)
ons	wij	Pron(pers,1,plu)
ghepast	passen	v(participle,past)
te	te	Adp()
brenghen	brengen	v(infin)
inden	in+de	Adp()+Art(def)
noot	nood	N(sing)
als	als	Conj(comp)
slachtschaepkens	slachtschaap	N(plu)
diemen	die+men	Pron(rel)+Pron(indef)
doot	dood	N(sing)
met	met	Adp()
tyrannije	tyrannie	N(sing)
beus	boos	N(sing)
dus	dus	adv(dem)
roepen	roepen	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
want	want	Conj(coord)
godt	god	N(sing)
verdroot	verdrieten	V(participle,past)
v	gij	Pron(poss)
vive	vive	num(card)
vive	vive	num(card)
le	le	N(sing)
geus	geus	N(sing)
sy	zij	Pron(pers,3,plu)
hadden	hebben	V(fin,past,aux_cop)
na	na	Adp()
ons	wij	pron(pers,1,plu)
bloedt	bloed	N(sing)
ghevast	vasten	V(participle,past)
ons	wij	pron(pers,1,plu)
goet	goed	adj()
te	te	adp()
nemen	nemen	v(infin)
hadden	hebben	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
ghepast	passen	V(participle,past)
want	want	Conj(coord)
sy	zij	Pron(pers,3,plu)
maken	maken	V(fin,pres,lex)
ons	wij	Pron(pers,1,plu)
fameus	???	N(sing)
voor	voor	Adp()
den	de	Art(def)
coninck	koning	N(sing)
maer	maar	Conj(coord)
roept	roepen	V(fin,pres,lex)
ontlast	ontlasten	V(participle,past)
vive	vive	Misc()
vive	vijf	num(card)
le	le	N(sing)
geus	geus	n(sing)
hertoch	hertog	N(sing)
eerick	eren+ik	N(sing)
heeft	hebben	v(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
sterck	sterk	Adj()
gheset	zetten	V(participle,past)
teghen	tegen	Adp()
die	de	Art(def)
waerheyt	waarheid	N(sing)
reyn	rein	Adj()
en	en	Conj(coord)
net	net	N(sing)
met	met	Adp()
lancen	lang	n(plu)
ende	en	conj(coord)
speer	speer	n(sing)
hierom	hierom	pronadv(dem)
gheeft	geven	V(fin,pres,lex)
godt	god	N(sing)
diet	die+het	Pron(rel)+Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
belet	beletten	V(participle,past)
lof	lof	N(sing)
glory	glorie	N(sing)
prijs	prijs	N(sing)
end	en	Conj(coord)
eer	eer	N(sing)
die	de	Art(def)
prins	prins	n(sing)
van	van	Adp()
orangien	oranje	N(prop)
triumphant	triomfant	N(sing)
met	met	adp()
andere	ander	adj()
baroenen	baroen	n(plu)
hier	hier	adv(dem)
int	het+in	Adp()+Art(def)
lant	land	N(sing)
sy	zij	Pron(pers,3,plu)
waren	zijn	V(fin,past,aux_cop)
damboreus	daarvoor	N(sing)
godt	god	N(sing)
maeckte	maken	V(fin,past,lex)
haer	haar	Pron(poss)
synen	zijn	pron(poss)
wille	wil	N(sing)
bekant	bekend	adj()
vive	vive	num(card)
vive	vijf	num(card)
le	le	N(sing)
geus	geus	N(sing)
de	de	Art(def)
deken	deken	N(sing)
van	van	adp()
ronsen	roos	n(plu)
om	om	adp()
gods	god	N(sing)
woort	woord	N(sing)
bloot	bloot	Adj()
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
ghebracht	brengen	V(participle,past)
menich	menig	Num(indef)
christen	christus	N(prop)
ter	te+de	Adp()+Art(def)
doot	dood	N(sing)
met	met	adp()
moede	moed	N(sing)
preus	preus	n(sing)
daerom	daarom	pronadv(dem)
roepen	roepen	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
cleyn	klein	Adj()
en	en	Conj(coord)
groot	groot	Adj()
vive	vive	Misc()
vive	vive	Misc()
le	le	N(sing)
geus	geus	N(sing)
de	de	Art(def)
marcgraef	markgraaf	N(sing)
van	van	Adp()
antwerpen	antwerpen	N(prop)
is	zijn	v(fin,pres,aux_cop)
een	een	art(indef)
wreet	wreed	adj()
tyrant	tyran	N(sing)
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
de	de	Art(def)
christenen	christen	N(prop)
verdroncken	verdrinken	V(participle,past)
en	en	Conj(coord)
verbrant	verbranden	V(participle,past)
met	met	Adp()
nijde	nijd	n(sing)
dangereus	danger	Adv(gener)
dus	dus	adv(dem)
roepen	roepen	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
tot	tot	Adp()
zijnder	zijn	Pron(poss)
schandt	schande	N(sing)
vive	vijf	num(card)
vive	vijf	num(card)
le	le	N(sing)
geus	geus	n(sing)
bisschoppen	bisschoppen	V(infin)
en	en	Conj(coord)
prelaten	prelaat	N(plu)
achtmen	achten	V(infin)
nu	nu	adv(dem)
niet	niet	Adv(neg)
meer	meer	adv(gener)
noch	noch	conj(coord)
den	de	Art(def)
paus	paus	n(sing)
met	met	Adp()
syne	zijn	Pron(poss)
valsche	vals	Adj()
leer	leren	N(sing)
want	want	Conj(coord)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
venineus	venijn	N(sing)
dus	dus	Adv(dem)
roepen	roepen	V(fin,pres,lex)
wy	wij	Pron(pers,1,plu)
teghen	tegen	Adp()
haer	haar	Pron(poss)
eer	eer	N(sing)
vive	vive	num(card)
vive	vive	num(card)
le	le	N(sing)
geus	geus	n(sing)
verblijt	verblijden	V(imp)
u	gij	Pron(pers,2,sing)
alle	al	Num(indef)
gader	gader	N(sing)
met	met	Adp()
groot	groot	Adj()
iolijt	jolijt	N(sing)
die	die	Pron(rel)
den	de	art(def)
cardinalen	kardinaal	n(plu)
draghen	dragen	v(fin,pres,lex)
de	de	Art(def)
trouw	trouw	n(sing)
te	te	Adp()
spijt	spijt	N(sing)
als	als	Conj(subord)
sy	zij	Pron(pers,3,plu)
vragen	vragen	V(infin)
na	na	Adp()
de	de	art(def)
leus	leus	N(sing)
dus	dus	adv(dem)
segt	zeggen	V(fin,pres,lex)
altijt	altijd	adv(gener)
en	ne	adv(neg)
weest	zijn	V(imp)
verblijt	verblijden	V(participle,past)
vive	vive	Misc()
vive	vive	num(card)
le	le	N(sing)
geus	geus	n(sing)
danckt	danken	V(fin,pres,lex)
godt	god	N(sing)
den	de	Art(def)
prins	prins	N(sing)
van	van	Adp()
hemelrijck	hemelrijk	N(sing)
ghy	gij	Pron(pers,2,plu)
die	die	Pron(rel)
de	de	Art(def)
waerheyt	waarheid	N(sing)
soeckt	zoeken	V(fin,pres,lex)
ghelijck	gelijk	Adv(gener)
hoe	hoe	adv(inter)
langer	lang	adv(gener)
hoe	hoe	adv(inter)
meer	meer	num(indef)
betert	beteren	v(fin,pres,lex)
u	gij	Pron(pers,2,sing)
gheeft	geven	V(fin,pres,lex)
godt	god	N(sing)
autentijck	authentiek	Adj()
lof	lof	N(sing)
