o	o	Interj()
heere	heer	N(sing)
geeft	geven	V(fin,pres,lex)
soo	zo	Adv(resum)
lange	lang	Adv(gener)
leeft	leven	V(fin,pres,lex)
het	het	pron(pers,3,sing)
edel	edel	Adj()
nassous	nassau	N(prop)
bloet	bloed	N(sing)
voorspoet	voorspoed	N(sing)
want	want	Conj(coord)
hy	hij	Pron(pers,3,sing)
gewis	gewis	Adv(gener)
ghenadigh	genadig	Adj()
is	zijn	v(fin,pres,aux_cop)
en	een	art(indef)
doet	doen	v(fin,pres,lex)
syn	zijn	Pron(poss)
vyant	vijand	N(sing)
goet	goed	Adj()
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
present	present	V(fin,pres,lex)
een	een	Art(indef)
instrument	instrument	N(sing)
deur	door	Adp()
uwe	uw	Pron(poss)
handt	hand	N(sing)
te	te	Adp()
velt	veld	N(sing)
ghestelt	stellen	V(participle,past)
zijn	zijn	Pron(poss)
vrome	vroom	N(sing)
daet	daad	N(sing)
wort	worden	V(fin,pres,aux_cop)
vroegh	vroeg	Adv(gener)
en	en	Conj(coord)
laet	laten	V(imp)
in	in	adp()
uwen	uw	Pron(poss)
naem	naam	N(sing)
vertelt	vertellen	V(participle,past)
al	al	Adv(gener)
hebben	hebben	V(fin,pres,aux_cop)
zy	zij	Pron(pers,3,sing)
met	met	Adp()
schanden	schande	N(sing)
fy	fij	Adj()
orangien	oranje	N(prop)
vroom	vroom	Adj()
vermoort	vermoord	V(participle,past)
verstoort	verstoren	V(participle,past)
zijn	zijn	Pron(poss)
edel	edel	Adj()
zaet	zaad	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
godt	god	N(sing)
te	te	Adp()
baet	baat	N(sing)
hy	hij	Pron(pers,3,sing)
komt	komen	V(fin,pres,lex)
hun	zij	Pron(pers,3,plu)
kloeck	kloek	Adj()
aenboort	aan+boord	Adp()+N(sing)
al	al	adv(gener)
waert	zijn+het	v(fin,past,aux_cop)
ghetal	getal	n(sing)
ons	wij	pron(pers,1,plu)
vyandts	vijand	N(sing)
al	al	Adv(gener)
veel	veel	num(indef)
duysenden	duizend	n(plu)
te	te	Adp()
veldt	veld	N(sing)
gestelt	stellen	v(participle,past)
wanneer	wanneer	Adv(inter)
godt	god	N(sing)
wil	willen	V(fin,pres,aux_cop)
doet	doen	V(fin,pres,lex)
hyse	hij+zij	Pron(pers,3,sing)+Pron(pers,3,plu)
stil	stil	Adj()
vergaen	vergaan	V(infin)
als	als	Conj(comp)
sneeu	sneeuw	N(sing)
die	de	Art(def)
smelt	smelten	n(sing)
dit	dit	pron(dem)
is	zijn	v(fin,pres,aux_cop)
den	de	Art(def)
troost	troost	N(sing)
hoort	horen	V(fin,pres,lex)
mijn	mijn	Pron(poss)
propoost	propoost	N(sing)
voor	voor	Adp()
'	?	punc(quest)
s	de	Art(def)
hollandts	holland	N(prop)
hoopken	hoop	N(plu)
kleyn	klein	Adj()
certeyn	certein	N(sing)
waer	waar	V(fin,past,aux_cop)
d	de	Art(def)
'	?	punc(quest)
overhooft	overvloed	N(sing)
aen	aan	Adp()
godt	god	N(sing)
ghelooft	geloven	V(fin,pres,lex)
als	als	Conj(comp)
een	een	Art(indef)
christen	christen	N(prop)
lidt	lid	N(sing)
reyn	rein	Adj()
alleen	alleen	Adv(gener)
de	de	Art(def)
eer	eer	N(sing)
komt	komen	V(fin,pres,lex)
u	gij	Pron(pers,2,sing)
toe	toe	Adp()
heer	heer	N(sing)
die	die	Pron(rel)
desen	deze	pron(dem)
heldt	held	N(sing)
gheschiet	geschieden	v(fin,pres,lex)
om	om	Adp()
niet	niet	Adv(neg)
want	want	conj(coord)
die	die	Pron(rel)
ghy	gij	Pron(pers,2,sing)
wilt	willen	V(fin,pres,aux_cop)
gheeft	geven	V(fin,pres,lex)
dy	du	Pron(pers,2,sing)
den	de	Art(def)
schilt	schild	N(sing)
soomen	som	Pron(resum)+Pron(indef)
merckelyck	merkelijk	Adj()
siet	zien	V(imp)
