wat	wat	pron(inter)
nieus	nieuws	n(prop)
moet	moeten	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
u	gij	Pron(pers,2,sing)
verclaren	verklaren	V(infin)
hoort	horen	V(imp)
toe	toe	Adp()
hier	hier	Adv(dem)
doch	doch	Adv(gener)
op	op	Adp()
let	lid	N(sing)
hoe	hoe	adv(inter)
dat	dat	conj(subord)
met	met	Adp()
groot	groot	Adj()
beswaren	bezwaar	V(infin)
worden	worden	V(fin,past,aux_cop)
ghebracht	brengen	V(participle,past)
int	in+het	Adp()+Art(def)
net	net	N(sing)
die	de	Art(def)
landen	land	n(plu)
ende	en	conj(coord)
steden	stad	n(plu)
van	van	adp()
westerlant	west	n(sing)
minioot	monjou	n(sing)
boven	boven	Adp()
haer	haar	Pron(poss)
gherechticheden	gerechtigheid	N(plu)
end	en	Conj(coord)
old	oud	Adj()
privilegien	privilege	V(infin)
goet	goed	adj()
sijnt	zijn	V(imp)
niet	niet	adv(neg)
seltsame	zeldzaam	n(sing)
plaghen	plegen	N(plu)
over	over	Adp()
de	de	Art(def)
landen	land	N(plu)
vermaert	vermaren	V(participle,past)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
connen	kunnen	V(fin,pres,aux_cop)
verdraghen	verdragen	V(infin)
der	de	Art(def)
vreemder	vreemde	adj()
natien	natie	N(sing)
aert	aard	n(sing)
die	die	Pron(rel)
haer	zij	Pron(poss)
doch	doch	Adv(gener)
gheensins	geenszins	Adv(gener)
meenen	menen	V(infin)
dan	dan	Conj(comp)
soecken	zoeken	V(infin)
met	met	Adp()
ghemack	gemak	N(sing)
die	de	Art(def)
landen	land	n(plu)
te	te	Adp()
vercleenen	verkleinen	v(infin)
ende	en	conj(coord)
vullen	vullen	v(infin)
haren	haar	pron(poss)
sack	zak	n(sing)
een	een	art(indef)
swart	zwart	adj()
grilken	griek	adj()
sietmen	zien+men	V(fin,pres,lex)+Pron(indef)
loopen	lopen	V(infin)
als	als	Conj(comp)
een	een	Art(indef)
meerkat	meer	N(sing)
seer	zeer	Adv(gener)
snel	snel	Adj()
veel	veel	Num(indef)
goets	goed	N(sing)
schrapt	schrift	N(sing)
hy	hij	Pron(pers,3,sing)
te	te	Adp()
hoopen	hoop	V(infin)
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
der	de	Art(def)
jonghen	jong	N(plu)
veel	veel	num(indef)
seer	zeer	Adv(gener)
rijck	rijk	N(sing)
meynt	menen	N(sing)
hyse	hij+zij	Pron(pers,3,sing)+Pron(pers,3,plu)
te	te	adp()
maken	maken	v(infin)
al	al	adv(gener)
met	met	adp()
der	de	art(def)
edelen	edel	adj()
goet	goed	N(sing)
hy	hij	Pron(pers,3,sing)
salter	zullen+er	V(fin,pres,aux_cop)+Pron(pers,3,sing)
noch	noch	Conj(coord)
al	al	adv(gener)
laten	laten	v(infin)
daer	daar	adv(dem)
toe	toe	adp()
den	de	art(def)
swarten	zwart	adj()
hoet	het+hoe	pron(pers,3,sing)+adv(inter)
haer	haar	pron(poss)
natuerlicken	natuurlijk	adj()
heere	heer	N(sing)
met	met	Adp()
menighen	menig	Num(indef)
vromen	vroom	adj()
man	man	n(sing)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
met	met	Adp()
groot	groot	Adj()
oneere	oneer	N(sing)
ghedaen	doen	V(participle,past)
al	al	Adv(gener)
inden	in+de	Adp()+Art(def)
ban	ban	N(sing)
