ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
u	gij	Pron(pers,2,sing)
singhen	zingen	v(infin)
een	een	Art(indef)
goet	goed	Adj()
nieu	nieuw	Adj()
liedt	lied	N(sing)
kinderen	kind	N(plu)
wilt	willen	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
hooren	horen	V(infin)
int	in+het	Adp()+Art(def)
roomsche	rooms	Adj()
rijck	rijk	N(sing)
daer	daar	Adv(dem)
is	zijn	V(fin,pres,aux_cop)
jolijt	jolijt	n(prop)
daer	daar	Adv(dem)
is	zijn	v(fin,pres,aux_cop)
een	een	art(indef)
paus	paus	N(sing)
ghecoren	kiezen	V(participle,past)
ten	te+de	Pron(pers,3,sing)+Adv(neg)
is	zijn	V(fin,pres,aux_cop)
gheen	geen	pron(indef)
god	god	n(sing)
ten	te+de	Adp()+Art(def)
is	zijn	v(fin,pres,aux_cop)
gheen	geen	Pron(indef)
mensch	mens	N(sing)
hy	hij	Pron(pers,3,sing)
hevet	hebben	V(fin,pres,aux_cop)
al	al	Adv(gener)
na	na	adp()
synen	zijn	Pron(poss)
wensch	wens	N(sing)
hy	hij	Pron(pers,3,sing)
drinckt	drinken	V(fin,pres,lex)
so	zo	Adv(resum)
geern	gaarne	v(infin)
den	de	art(def)
wijn	wijn	N(sing)
hy	hij	Pron(pers,3,sing)
drinckt	drinken	V(fin,pres,lex)
so	zo	Adv(resum)
geern	gaarne	v(infin)
den	de	art(def)
wijn	wijn	n(sing)
ist	zijn+het	v(fin,pres,aux_cop)+pron(pers,3,sing)
gheen	geen	Pron(indef)
god	god	N(sing)
oft	of	Conj(coord)
ist	zijn+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
gheen	geen	Pron(indef)
mensch	mens	N(sing)
so	zo	adv(resum)
moet	moeten	V(fin,pres,aux_cop)
het	het	pron(pers,3,sing)
een	een	Art(indef)
duyvel	duivel	N(sing)
zijn	zijn	Pron(poss)
vierd	vierde	N(sing)
'	?	punc(quest)
halfhondert	half	N(sing)
daghen	dag	n(plu)
aflaet	aflaat	N(sing)
soo	zo	Adv(resum)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ons	wij	Pron(pers,1,plu)
ghegheven	geven	V(participle,past)
willen	willen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
certeyn	certein	Adv(gener)
na	na	Adp()
hem	hij	Pron(pers,3,sing)
alleyn	alleen	Adv(gener)
