och	och	Interj()
hoe	hoe	Adv(inter)
bedroeft	bedroefd	adj()
is	zijn	V(fin,pres,aux_cop)
nu	nu	Adv(dem)
het	het	Pron(pers,3,sing)
nederlant	nederland	N(prop)
om	om	Adp()
een	een	Art(indef)
die	die	pron(rel)
de	de	Art(def)
waerheyt	waarheid	N(sing)
is	zijn	V(fin,pres,aux_cop)
afgheweken	afwijken	V(participle,past)
waer	waar	V(fin,past,aux_cop)
deur	door	Adp()
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
brochte	brengen	v(fin,past,lex)
in	in	adp()
groote	groot	adj()
schant	schande	N(sing)
hy	hij	Pron(pers,3,sing)
die	die	Pron(rel)
de	de	Art(def)
waerheyt	waarheid	N(sing)
elck	elk	Pron(indef)
heeft	hebben	V(fin,pres,aux_cop)
laten	laten	V(infin)
preken	prediken	V(infin)
is	zijn	V(fin,pres,aux_cop)
deur	door	Adp()
den	de	Art(def)
schat	schat	N(sing)
der	de	art(def)
booser	boos	Adj()
aert	aard	n(sing)
verblent	verblinden	V(participle,past)
en	en	Conj(coord)
heeft	hebben	v(fin,pres,aux_cop)
gods	god	N(sing)
stem	stem	n(sing)
daerna	daarna	pronadv(dem)
seer	zeer	Adv(gener)
corts	kort	Adv(gener)
versteken	versteken	V(participle,past)
zijn	zijn	Pron(poss)
fondament	fundament	N(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
eerstwerf	eerstwerf	Num(ord)
vast	vast	Adv(gener)
leye	leggen	N(sing)
is	zijn	V(fin,pres,aux_cop)
gantz	gans	Adv(gener)
geschent	schenden	V(participle,past)
hier	hier	Adv(dem)
in	in	Adp()
s	sint	Art(def)
'	?	punc(quest)
neerlants	nederland	N(prop)
contreye	contrei	n(sing)
seer	zeer	Adv(gener)
vierigh	vurig	adj()
was	zijn	V(fin,past,aux_cop)
egmont	egmont	N(prop)
op	op	Adp()
d	de	Art(def)
'	?	punc(quest)
eerste	eerst	num(rod)
tijt	tijd	N(sing)
hy	hij	Pron(pers,3,sing)
geboot	gebieden	V(fin,past,lex)
die	de	Art(def)
christ	christus	N(prop)
'	?	punc(quest)
nen	een	art(indef)
tempels	tempel	n(sing)
te	te	Adp()
bouwen	bouwen	V(infin)
waer	waar	V(fin,past,aux_cop)
dat	dat	Conj(subord)
heel	heel	n(sing)
vlaenderen	vlaanderen	N(prop)
was	zijn	V(fin,past,aux_cop)
in	in	adp()
verblijf	verblijf	n(sing)
op	op	adp()
hem	hij	pron(pers,3,sing)
stelden	stellen	v(fin,past,lex)
theel	het+heel	Art(def)+Adj()
lant	land	N(sing)
zijn	zijn	Pron(poss)
betrouwen	betrouwen	N(sing)
zijnde	zijn	V(participle,pres)
regent	regent	V(fin,pres,lex)
en	en	Conj(coord)
heer	heer	N(sing)
vant	van+het	Adp()+Art(def)
vlaemse	vlaams	Adj()
fleur	fleur	n(sing)
meynden	menen	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
te	te	Adp()
preken	prediken	V(infin)
vry	vrij	Adj()
sonder	zonder	Adp()
flouwen	flauw	V(infin,subst)
met	met	Adp()
groot	groot	adj()
getruer	getreur	N(sing)
moesten	moeten	V(fin,past,aux_cop)
sy	zij	Pron(pers,3,plu)
weer	zijn	Adv(gener)
afbreken	afbreken	V(infin)
des	de	Art(def)
tempels	tempel	N(sing)
muer	muur	n(sing)
oogen	oog	N(plu)
sachmer	zien+men+er	V(fin,pres,lex)+Pron(indef)+Pron(indef)
om	om	Adp()
leken	leek	V(infin)
madamme	madam	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
so	zo	adv(resum)
menige	menig	num(indef)
list	list	N(sing)
geleyt	leggen	v(participle,past)
op	op	Adp()
dat	dat	Art(def)
egmont	egmont	N(prop)
den	de	Art(def)
paus	paus	N(sing)
weer	weer	Adv(gener)
sou	zullen	V(fin,past,aux_cop)
gelooven	geloven	V(infin)
zy	zij	Pron(pers,3,sing)
kende	kennen	V(fin,past,lex)
wel	wel	Adv(gener)
zijn	zijn	Pron(poss)
groote	groot	Adj()
giericheyt	gierigheid	N(sing)
en	en	Conj(coord)
dachte	denken	N(sing)
ick	ik	Pron(pers,1,sing)
sal	zullen	v(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
met	met	adp()
gelt	geld	n(sing)
verdooven	verdoven	V(infin)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
hem	hij	Pron(pers,3,sing)
koopen	kopen	V(infin)
d	de	Art(def)
'	?	punc(quest)
lant	land	N(sing)
van	van	adp()
gaesbeeck	gaasbeek	N(prop)
schoon	schoon	Adj()
hier	hier	Adv(dem)
me	mee	Adv(gener)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
zijn	zijn	Pron(poss)
sinnen	zin	N(plu)
meer	meer	Num(indef)
berooven	beroven	V(infin)
dwelck	de+welke	Art(def)+Pron(rel)
zijn	zijn	Pron(poss)
persoon	persoon	N(sing)
seer	zeer	Adv(gener)
haestlijck	haastelijk	Adv(gener)
accepteerden	accepteren	V(fin,past,lex)
maer	maar	Conj(coord)
wacht	wachten	V(fin,pres,lex)
den	de	Art(def)
loon	loon	N(sing)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
sulcx	zulk	Pron(dem)
consenteerden	constenteren	V(fin,past,lex)
hier	hier	Adv(dem)
uut	uit	Adp()
nam	nemen	v(fin,past,lex)
oorsaeck	oorzaak	N(sing)
egmont	egmont	N(prop)
armen	arm	Adj()
bloet	bloed	N(sing)
om	om	adp()
dat	dat	pron(dem)
die	de	art(def)
beelden	beeld	n(plu)
waren	zijn	v(fin,past,aux_cop)
afgesmeten	afsmijten	v(participle,past)
so	zo	adv(resum)
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
doen	doen	V(infin)
hangen	hangen	V(infin)
oock	ook	Adv(gener)
metter	de+met	Adp()+Art(def)
spoet	spoed	N(sing)
eenentwintich	eenentwintig	Num(card)
tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
waer	waar	V(fin,past,aux_cop)
so	zo	Adv(resum)
elck	elk	Pron(indef)
mach	mogen	V(fin,pres,aux_cop)
weten	weten	V(infin)
en	ne	adv(neg)
dartigh	dertig	Num(card)
doen	toen	v(infin)
geesselen	geselen	v(infin)
op	op	adp()
dat	dat	Art(def)
