wie	wie	Pron(inter)
wil	willen	V(fin,pres,aux_cop)
hooren	horen	V(infin)
een	een	Art(indef)
nieu	nieuw	Adj()
liet	laten	V(fin,past,lex)
wat	wat	Pron(inter)
int	in+het	Adp()+Art(def)
jaer	jaar	n(sing)
dryentseventich	driëentwintigste	n(sing)
is	zijn	V(fin,pres,aux_cop)
gheschiet	geschieden	V(participle,past)
hoort	horen	V(imp)
toe	toe	Adp()
ick	ik	Pron(pers,1,sing)
salt	zullen+het	V(fin,pres,aux_cop)+Pron(pers,3,sing)
u	gij	Pron(pers,2,sing)
verclaren	verklaren	v(infin)
van	van	adp()
die	de	art(def)
antwerpers	antwerpen	N(prop)
hoort	horen	V(fin,pres,lex)
mijn	mijn	Pron(poss)
bediet	beduiden	N(sing)
hoe	hoe	adv(inter)
dat	dat	Conj(subord)
sy	zij	Pron(pers,3,plu)
zijn	zijn	V(fin,pres,aux_cop)
ghevaren	varen	V(participle,past)
die	de	Pron(rel)
spaeniaerts	spanjaard	N(prop)
hebben	hebben	v(fin,pres,aux_cop)
gelt	geld	N(sing)
uut	uit	Adp()
ghesant	zenden	V(participle,past)
int	in+het	Adp()+Art(def)
sticht	stichten	n(sing)
van	van	adp()
bremen	braam	n(plu)
wel	wel	adv(gener)
bekant	bekend	adj()
dit	dit	pron(dem)
hebben	hebben	v(fin,pres,aux_cop)
die	de	art(def)
bremers	kramer	n(sing)
vernomen	vernemen	v(participle,past)
twee	twee	num(card)
croonen	kroon	N(plu)
gafmen	geven+men	v(fin,past,lex)
daer	daar	Adv(dem)
op	op	adp()
die	de	art(def)
hant	hand	n(sing)
al	al	adv(gener)
om	om	adp()
tantwerpen	antwoorden+te	v(infin)+adp()
te	te	adp()
comen	komen	v(infin)
dit	dit	pron(dem)
heeft	hebben	v(fin,pres,aux_cop)
verhoort	verhoren	V(participle,past)
een	een	Art(indef)
capiteyn	kapitein	N(sing)
vaeliant	valiant	N(sing)
in	in	Adp()
zeelant	zeeland	N(prop)
is	zijn	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
wel	wel	Adv(gener)
bekant	bekend	Adj()
te	te	Adp()
vlissinghen	vlissingen	N(prop)
binnen	binnen	Adv(gener)
der	de	Art(def)
steden	stad	n(sing)
hi	hij	pron(pers,3,sing)
is	zijn	v(fin,pres,aux_cop)
ghetoghen	tuigen	v(participle,past)
in	in	adp()
brabant	brabant	n(prop)
aldaer	aldaar	adv(dem)
quam	komen	V(fin,past,lex)
hy	hij	Pron(pers,3,sing)
met	met	Adp()
vreden	vrede	N(sing)
hy	hij	Pron(pers,3,sing)
quam	komen	V(fin,past,lex)
tantwerpen	antwoorden+te	V(infin)
aen	aan	adp()
dat	dat	Art(def)
landt	land	N(sing)
als	als	Conj(comp)
bootsman	bootsman	N(sing)
so	zo	adv(resum)
was	zijn	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
onbekant	onbekend	Adj()
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
maentghelt	manachtig	N(sing)
ghecreghen	krijgen	V(participle,past)
al	al	adv(gener)
op	op	adp()
den	de	art(def)
ammirael	admiraal	n(sing)
vaeliant	valiant	V(fin,pres,lex)
hoort	horen	V(imp)
