alsmen	als+men	conj(comp)+pron(indef)
schreef	schrijven	V(fin,past,lex)
duysent	duizend	num(card)
vijfhondert	biechtvader	Num(card)
en	en	Conj(coord)
dry	drie	Num(card)
en	en	Conj(coord)
tseventich	???	Art(def)+N(sing)
jaer	jaar	n(plu)
mocht	mogen	V(fin,past,aux_cop)
elck	elk	Pron(indef)
wel	wel	Adv(gener)
zijn	zijn	Pron(poss)
verwondert	verwonderen	V(participle,past)
al	al	Adv(gener)
vande	van+de	Adp()+Art(def)
spaensche	spaans	Adj()
schaer	schaar	N(sing)
sy	zij	Pron(pers,3,plu)
quamen	komen	V(fin,past,lex)
uut	uit	Adp()
ghestreken	strijken	v(participle,past)
hondert	honderd	num(card)
twintich	twintig	num(card)
vaendel	onedel	N(sing)
sterck	sterk	Adj()
voor	voor	Adp()
alckmaer	alkmaar	Pron(indef)
soot	zo+het	N(sing)
is	zijn	V(fin,pres,aux_cop)
ghebleken	blijken	V(participle,past)
als	als	Conj(comp)
tyrannen	tiran	N(plu)
sy	zij	Pron(pers,3,plu)
ginghen	gaan	V(fin,past,lex)
te	te	Adp()
werck	werk	N(sing)
naer	naar	Adp()
coedijck	moedig	Adv(gener)
sy	zij	Pron(pers,3,plu)
eerst	eerst	Adv(gener)
passeerden	passeren	V(fin,past,lex)
de	de	Art(def)
vriesche	grieks	adj()
poort	poort	N(sing)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	pron(pers,3,plu)
beset	bezetten	V(participle,past)
voor	voor	Adp()
den	de	art(def)
sluys	sluis	N(sing)
men	men	pron(indef)
haer	zij	pron(pers,3,sing)
eerst	eerst	adv(gener)
keerden	keren	V(fin,past,lex)
haer	haar	pron(poss)
passagie	passage	n(sing)
was	zijn	v(fin,past,aux_cop)
daer	daar	Adv(dem)
belet	beletten	v(participle,past)
over	over	Adp()
tvelt	het+veld	Art(def)+N(sing)
quamen	komen	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
loopen	lopen	V(infin)
als	als	Conj(comp)
leuwen	leeuw	V(infin)
en	en	Conj(coord)
beeren	beer	V(infin)
verwoet	verwoed	Adj()
met	met	Adp()
hoy	hooi	N(sing)
en	en	Conj(coord)
stroy	stro	N(sing)
by	bij	Adp()
hopen	hopen	v(infin)
maecten	maken	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
een	een	Art(indef)
wech	weg	N(sing)
met	met	Adp()
spoet	spoed	n(sing)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
doen	doen	v(infin)
mede	mede	adv(gener)
trecken	trekken	v(infin)
uuten	uit+de	adp()+art(def)
nypoort	nachor	N(sing)
veel	veel	Num(indef)
spaengiaerts	spanjaard	N(prop)
ghelijck	gelijk	Adv(gener)
sy	zij	Pron(pers,3,plu)
pasten	passen	V(fin,past,lex)
op	op	Adp()
wallen	wallen	V(infin)
noch	noch	conj(coord)
hecken	eik	V(infin)
sy	zij	Pron(pers,3,plu)
vreesden	vrezen	V(fin,past,lex)
gheen	geen	Pron(indef)
water	water	n(sing)
noch	noch	conj(coord)
slijck	slijk	N(sing))
sy	zij	Pron(pers,3,plu)
saghen	zien	V(fin,past,lex)
na	na	Adp()
haer	haar	pron(poss)
voordeel	voordeel	N(sing)
den	de	art(def)
rinmolens	rinoceros	n(plu)
namen	naam	V(fin,past,lex)
sy	zij	pron(pers,3,plu)
in	in	Adp()
als	als	Conj(comp)
bleeck	bleek	Adj()
naer	naar	Adp()
smenschen	de+mens	Art(def)+N(plu)
oordeel	oordeel	N(sing)
twas	het+zijn	Pron(pers,3,sing)+V(fin,past,aux_cop)
den	de	Art(def)
burgers	burger	N(sing)
niet	niet	adv(neg)
van	van	adp()
haer	haar	pron(poss)
sin	zin	n(sing)
die	de	art(def)
burghers	burger	n(plu)
ende	en	conj(coord)
soldaten	soldaat	N(plu)
sy	zij	Pron(pers,3,plu)
werden	worden	V(fin,past,aux_cop)
tsamen	tezamen	Adv()
beraen	beraden	V(infin)
sy	zij	Pron(pers,3,plu)
wildent	het+willen	V(fin,pres,lex)
daer	daar	Adv(dem)
by	bij	Adp()
niet	niet	adv(neg)
laten	laten	V(infin)
een	een	art(indef)
tocht	toch	n(sing)
hebben	hebben	V(fin,pres,aux_cop)
sy	zij	Pron(pers,3,plu)
ghedaen	doen	V(participle,past)
te	te	Adp()
water	water	n(sing)
en	en	adv(neg)
te	te	adp()
lande	land	n(sing)
vielen	vallen	v(fin,past,lex)
sy	zij	pron(pers,3,plu)
dapperlyck	dapper	Adv(gener)
aen	aan	Adp()
