o	o	interj()
neroos	nero	n(prop)
herte	hart	N(sing)
zijt	zijn	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
noch	noch	Conj(coord)
niet	niet	Adv(neg)
doot	dood	N(sing)
datmen	dat+men	Conj(subord)+Pron(indef)
u	uw	pron(poss)
wonden	wond	N(plu)
noch	noch	Conj(coord)
alsins	alleszins	n(sing)
moet	moeten	V(fin,pres,aux_cop)
speure	speer	N(sing)
twelck	hetwelk	Pron(rel)
men	men	Pron(indef)
onlanghs	onlangs	Adv(gener)
by	bij	adp()
den	de	Art(def)
bos	boos	n(sing)
sach	zien	v(fin,past,lex)
gebeure	gebeuren	n(prop)
van	van	adp()
grobbendoncks	brittanni's1e+groot	Adj()
volck	volk	N(sing)
seer	zeer	Adv(gener)
vileyn	vilein	Adj()
en	en	Conj(coord)
snoot	snood	N(sing)
aen	aan	Adp()
een	een	Art(indef)
vroom	vroom	Adj()
helt	held	N(sing)
genaemt	genaamd	V(participle,past)
mons	mond	n(sing)
breaute	broeden	v(fin,past,lex)
na	na	adp()
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
schier	schier	Adv(gener)
een	een	Art(indef)
uyre	vuur	n(sing)
was	zijn	v(fin,past,aux_cop)
ghevanghen	gevangen	v(participle,past)
diet	die+het	pron(rel)+pron(pers,3,sing)
geertruyden	geertruidenberg	V(infin)
bergh	berg	n(sing)
als	als	Conj(comp)
een	een	Art(indef)
romeyn	romein	N(sing)
uyt	uit	Adp()
ree	ree	N(sing)
sijn	zijn	Pron(poss)
twintichster	twintigst	num(rod)
na	na	adp()
den	de	art(def)
kamp	kamp	n(sing)
met	met	Adp()
verlanghen	verlangen	N(sing)
ghy	gij	Pron(pers,2,plu)
kaims	kaïn	N(sing)
broetsel	brood	N(sing)
pharo	pharo	n(prop)
opstinaet	obstinaat	V(fin,pres,lex)
hoe	hoe	adv(inter)
langhe	lang	Adv(gener)
wilt	willen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
noch	noch	Adv(gener)
in	in	Adp()
wreetheyt	wreedheid	N(sing)
