aenhoort	aanhoren	V(imp)
ghy	gij	Pron(pers,2,plu)
heydensche	heidens	N(plu)
nacie	natie	n(prop)
die	die	Pron(rel)
door	door	Adp()
christum	christus	N(prop)
tot	tot	Adp()
ghenade	genade	N(sing)
quaemt	komen	V(fin,past,lex)
hij	hij	pron(pers,3,sing)
roept	roepen	V(fin,pres,lex)
u	gij	Pron(pers,2,sing)
tot	tot	Adp()
sijnder	zijn	pron(poss)
gracie	gratie	n(sing)
dus	dus	adv(dem)
coemt	komen	v(fin,pres,lex)
eer	eer	conj(subord)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
blijft	blijven	V(fin,pres,aux_cop)
beschaemt	beschaamd	Adj()
met	met	Adp()
hem	hij	Pron(pers,3,sing)
versaemt	verzamenen	v(participle,past)
al	al	adv(gener)
in	in	Adp()
sijn	zijn	pron(poss)
goddelijck	goddelijk	Adj()
woort	woord	N(sing)
ghepresen	prijzen	V(participle,past)
soo	zo	Adv(resum)
wie	wie	Pron(inter)
dat	dat	Pron(rel)
den	de	art(def)
name	naam	n(sing)
gods	god	N(sing)
ghebenedijt	gebenedijd	Adj()
ghelooft	geloven	V(fin,pres,lex)
en	en	Conj(coord)
aanroept	aanroepen	V(fin,pres,lex)
altijt	altijd	Adv(gener)
die	die	Pron(rel)
sal	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
salich	zalig	Adj()
wesen	wezen	V(infin)
god	god	N(sing)
sprack	spreken	v(fin,past,lex)
met	met	Adp()
woorden	woord	N(plu)
vreedsame	vreedzaam	Adj()
tot	tot	Adp()
abraham	abraham	N(prop)
door	door	Adp()
u	uw	Pron(poss)
saet	zaad	N(sing)
voorwaer	voorwaar	Adv(gener)
sullen	zullen	V(fin,pres,aux_cop)
die	de	Art(def)
heydenen	heiden	n(plu)
bequame	bekwaam	Adj()
ghebenedijt	gebenedijd	Adj()
sijn	zijn	V(fin,pres,aux_cop)
in	in	Adp()
christum	christus	N(prop)
lofbaer	lofbaar	N(sing)
want	want	Conj(coord)
dwoort	het+woord	Art(def)+N(sing)
seer	zeer	Adv(gener)
claer	klaar	Adj()
gheeft	geven	V(fin,pres,lex)
warachtich	waarachtig	Adj()
ghetuych	getuige	N(sing)
van	van	adp()
desen	deze	Pron(dem)
soo	zo	Adv(resum)
wie	wie	Pron(inter)
dat	dat	Pron(rel)
den	de	art(def)
name	naam	n(sing)
gods	god	N(sing)
ghebenedijt	gebenedijd	Adj()
ghelooft	geloven	V(fin,pres,lex)
en	en	Conj(coord)
aenroept	aanroepen	V(fin,pres,lex)
altijt	altijd	Adv(gener)
die	die	Pron(rel)
sal	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
salich	zalig	Adj()
wesen	wezen	V(infin)
dlicht	het+licht	Art(def)+N(sing)
is	zijn	v(fin,pres,aux_cop)
den	de	Art(def)
heydenen	heiden	N(plu)
ghegheven	geven	V(participle,past)
dus	dus	Adv(dem)
te	te	Adp()
wijl	wijl	n(sing)
ghijt	gij+het	pron(pers,2,plu)+pron(pers,3,sing)
hebt	hebben	v(fin,pres,aux_cop)
wandelt	wandelen	v(fin,pres,lex)
daer	daar	Adv(dem)
in	in	Adp()
soo	zo	Adv(gener)
comdy	komen+gij	V(fin,past,lex)+Pron(pers,2,plu)
uut	uit	Adp()
den	de	art(def)
doot	dood	N(sing)
int	in+het	Adp()+Art(def)
leven	leven	N(sing)
en	en	Conj(coord)
soeckt	zoeken	V(fin,pres,lex)
christum	christus	N(prop)
alleen	alleen	Adv(gener)
voor	voor	Adp()
u	uw	Pron(poss)
ghewin	gewin	N(sing)
met	met	Adp()
hert	hart	N(sing)
en	en	adv(neg)
sin	zijn	V(infin)
wilt	willen	v(fin,pres,aux_cop)
sijn	zijn	Pron(poss)
woort	woord	N(sing)
hooren	horen	V(infin)
verstaen	verstaan	V(infin)
en	ne	Conj(coord)
lesen	lezen	V(infin)
soo	zo	Adv(resum)
wie	wie	Pron(inter)
dat	dat	Pron(rel)
den	de	art(def)
name	naam	N(sing)
godts	god	N(sing)
ghebenedijt	gebenedijd	Adj()
ghelooft	geloven	V(fin,pres,lex)
en	en	Conj(coord)
aenroept	aanroepen	V(fin,pres,lex)
altijt	altijd	Adv(gener)
die	die	Pron(rel)
sal	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
salich	zalig	Adj()
wesen	wezen	V(infin)
hy	hij	Pron(pers,3,sing)
is	zijn	V(fin,pres,aux_cop)
dat	dat	Art(def)
beloefde	beloofd	adj()
saet	zaad	n(sing)
reyne	rein	Adj()
dwelck	de+welke	Art(def)+Pron(rel)
adam	adam	n(prop)
was	zijn	v(fin,past,aux_cop)
ghepropheteert	profeteren	V(participle,past)
maer	maar	Conj(coord)
sy	zij	Pron(pers,3,plu)
versmaeyden	versmaden	V(fin,past,lex)
die	de	Art(def)
fonteyne	fontein	n(sing)
en	en	adv(neg)
dlevende	het+levende	Art(def)+Adj()
water	water	n(sing)
gherenocieert	mentioneren	V(participle,past)
dies	dat	Pron(dem)
u	gij	Pron(poss)
verneert	verneren	V(participle,past)
op	op	Adp()
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
u	gij	Pron(poss)
qualen	kwaal	N(plu)
laet	laten	v(fin,pres,aux_cop)
ghenesen	genezen	V(infin)
soo	zo	Adv(resum)
wie	wie	Pron(inter)
dat	dat	Pron(rel)
den	de	art(def)
name	naam	n(sing)
gods	god	N(sing)
ghebenedijt	gebenedijd	Adj()
ghelooft	geloven	V(fin,pres,lex)
en	en	Conj(coord)
aenroept	aanroepen	V(fin,pres,lex)
altijt	altijd	Adv(gener)
die	die	Pron(rel)
sal	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
salich	zalig	Adj()
wesen	wezen	V(infin)
hoe	hoe	adv(inter)
princelijck	prinselijk	Adj()
heeft	hebben	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
vertreden	vertreden	V(participle,past)
helle	hel	N(sing)
doot	dood	N(sing)
met	met	adp()
dat	het	art(def)
oude	oud	adj()
serpent	serpent	n(sing)
aent	aan+het	Adp()+Art(def)
cruyce	kruis	N(sing)
voor	voor	Adp()
des	de	Art(def)
menschen	mens	N(plu)
doot	dood	N(sing)
gheleden	lijden	V(participle,past)
en	en	Conj(coord)
ghelaten	laten	V(participle,past)
tot	tot	Adp()
een	een	Art(indef)
nieu	nieuw	Adj()
testament	testament	N(sing)
christum	christus	N(prop)
bekent	bekend	Adj()
want	want	Conj(coord)
ghy	gij	Pron(pers,2,sing)
met	met	Adp()
hem	hij	Pron(pers,3,sing)
sijt	zijn	v(fin,pres,aux_cop)
verresen	verrijzen	V(participle,past)
soo	zo	Adv(resum)
wie	wie	Pron(inter)
dat	dat	Pron(rel)
den	de	art(def)
name	naam	n(sing)
gods	god	N(sing)
ghebenedijt	gebenedijd	Adj()
ghelooft	geloven	V(fin,pres,lex)
en	en	Conj(coord)
aenroept	aanroepen	V(fin,pres,lex)
altijt	altijd	Adv(gener)
die	die	Pron(rel)
sal	zullen	V(fin,pres,aux_cop)
door	door	Adp()
christum	christus	N(prop)
salich	zalig	Adj()
wesen	wezen	V(infin)
per	per	n(sing)
haecht	haecht	n(sing)
