alsmen	als+men	conj(comp)+pron(indef)
een	een	Art(indef)
duysent	duizend	Num(card)
vijfhondert	biechtvader	N(sing)
jaer	jaar	N(sing)
en	en	Conj(coord)
sessentsestich	zes+en+dertig	Num(card)
heeft	hebben	V(fin,pres,aux_cop)
gheschreven	schrijven	v(participle,past)
april	april	n(prop)
versocht	verzoeken	adj()
slandts	het+land	n(sing)
adel	adel	n(prop)
alle	al	Num(indef)
gaer	gaar	Adv(gener)
om	om	Adp()
datmer	dat+men+er	conj(subord)+pronadv(pers)+pron(indef)
veel	veel	Num(indef)
brocht	brengen	N(sing)
om	om	Adp()
tleven	het+leven	art(def)+n(sing)
vant	vinden	Adp()+Art(def)
straffe	straf	N(sing)
ghebodt	gebod	N(sing)
uutghegheven	uitgaan	V(participle,past)
binnen	binnen	Adv(gener)
bruyssel	brussel	n(prop)
te	te	Adp()
zijn	zijn	V(infin)
bevrijt	bevrijden	V(participle,past)
en	en	Conj(coord)
in	in	Adp()
hoymaent	hooimaand	n(prop)
begostmen	bekosten	v(participle,past)
even	even	v(infin)
julij	juli	n(prop)
gods	god	N(sing)
woort	woord	N(sing)
te	te	Adp()
predicken	prediken	V(infin)
met	met	Adp()
vlijt	vlijt	N(sing)
int	in+het	Adp()+Art(def)
openbaer	openbaar	Adv(gener)
begonstmen	beginnen+hij	N(plu)
daer	daar	Adv(dem)
die	de	art(def)
beelden	beeld	n(plu)
algemeyn	algemeen	adv(gener)
seer	zeer	Adv(gener)
reyn	rein	Adj()
augu	afgod	N(sing)
van	van	Adp()
steen	steen	n(sing)
en	een	art(indef)
hout	houden	V(fin,pres,lex)
silver	zilver	N(sing)
en	en	Conj(coord)
gout	goud	N(sing)
te	te	adp()
breken	breken	V(infin)
groot	groot	Adj()
en	en	Conj(coord)
cleyn	klein	Adj()
uut	uit	Adp()
antwerpen	antwerpen	N(prop)
tooch	togen	N(sing)
op	op	Adp()
dat	dat	Art(def)
pas	pas	n(sing)
april	april	n(prop)
den	de	art(def)
edelen	edel	adj()
prins	prins	n(sing)
van	van	Adp()
orangien	oranje	N(prop)
duck	dik	Adv(gener)
dalf	delven	N(sing)
binnen	binnen	adv(gener)
bruyssel	brussel	n(prop)
was	zijn	v(fin,past,aux_cop)
augu	afgod	N(sing)
graeff	graaf	N(sing)
lodewijck	lodewijk	N(prop)
quam	komen	V(fin,past,lex)
uut	uit	adp()
almangen	allemagne	n(plu)
dus	dus	Adv(dem)
den	de	art(def)
hertoch	hertog	n(sing)
al	al	adv(gener)
van	van	adp()
albangen	albalonga	n(prop)
junij	juni	N(prop)
egmont	egmont	N(prop)
en	en	Conj(coord)
hoorn	hoorn	N(sing)
heeft	hebben	V(fin,pres,aux_cop)
onthalst	onthalen	V(participle,past)
des	de	Art(def)
princen	prins	N(plu)
soon	zoon	N(sing)
ghevoert	voeren	V(participle,past)
na	na	Adp()
spangen	spanje	v(infin)
sept	zijpen	N(sing)
en	en	Conj(coord)
s	sint	Art(def)
'	?	punc(quest)
lants	land	N(sing)
vryheden	vrijheid	N(plu)
alsoo	alzo	Adv(gener)
vervalst	voormaals	V(participle,past)
tlandt	het+land	Art(def)+N(sing)
was	zijn	v(fin,past,aux_cop)
verneert	verneren	V(participle,past)
hy	hij	Pron(pers,3,sing)
heeft	hebben	V(fin,pres,aux_cop)
begheert	begeren	V(participle,past)
van	van	Adp()
als	als	Conj(comp)
den	de	art(def)
penning	penning	n(sing)
thien	tien	n(prop)
te	te	adp()
sien	zien	v(infin)
maer	maar	conj(coord)
sijn	zijn	Pron(poss)
opzet	opzet	v(participle,past)
worde	worden	n(plu)
belet	beletten	v(participle,past)
twelck	hetwelk	Pron(rel)
menich	menig	Num(indef)
dede	doen	V(fin,past,lex)
vlien	vlieden	v(infin)
in	in	adp()
aprilis	april	n(prop)
den	de	art(def)
eersten	eerst	num(ord)
dach	dag	n(sing)
sachmen	zien+men	V(fin,past,aux_cop)+Pron(indef)
lume	kuim	Adv(gener)
inden	in+de	Adp()+Art(def)
briel	briel	n(sing)
comen	komen	v(infin)
den	de	art(def)
neghenden	negende	num(rod)
den	de	Art(def)
spaenschen	spaans	Adj()
slach	slag	n(sing)
april	april	n(prop)
wert	worden	v(fin,pres,aux_cop)
binnen	binnen	adv(gener)
rotterdam	rotten	N(prop)
vernomen	vernemen	v(participle,past)
daer	daar	Adv(dem)
na	na	adp()
werden	worden	v(infin)
vele	veel	num(indef)
vromen	vroom	n(sing)
julij	juli	n(prop)
binnen	binnen	adv(gener)
haerlem	haarlem	adv(gener)
deerlick	deerlijk	adv(gener)
vermoort	vermoord	V(participle,past)
maer	maar	Conj(coord)
den	de	Art(def)
vyant	vijand	N(sing)
most	moeten	N(sing)
weer	zijn	Adv(gener)
met	met	Adp()
schromen	schromen	V(infin)
van	van	Adp()
alcmaer	alom	Adv(gener)
met	met	Adp()
schanden	schande	N(sing)
voort	voorts	Adv(gener)
octob	oktober	N(prop)
den	de	Art(def)
grave	graf	N(sing)
nu	nu	adv(dem)
al	al	Adv(gener)
van	van	adp()
bossu	bossu	n(prop)
octob	oktober	n(prop)
werde	worden	v(fin,past,aux_cop)
ter	te+de	art(def)+adp()
selver	zelfde	pron(dem)
stee	stee	n(sing)
op	op	Adp()
zee	zee	N(sing)
doort	door+het	Adp()+Art(def)
langhe	lang	Adv(gener)
slaen	slaan	V(infin)
lustich	lustig	Adj()
ghevaen	vangen	V(participle,past)
ghebrocht	brengen	V(participle,past)
tot	tot	Adp()
hoorn	hoorn	N(sing)
mee	mee	num(indef)
als	als	conj(comp)
den	de	Art(def)
tyran	tiran	N(sing)
na	na	Adp()
spangen	spanje	V(infin)
tooch	togen	N(sing)
januarens	januari	N(plu)
sachmen	zien+men	V(fin,pres,lex)+Pron(indef)
den	de	Art(def)
slach	slag	N(sing)
voor	voor	Adp()
bergen	bergen	N(plu)
schieden	scheiden	V(infin)
daer	daar	Adv(dem)
menich	menig	num(indef)
spangiaert	spanjaard	N(plu)
heenen	heen	v(infin)
vlooch	vliegen	v(fin,past,lex)
cruysheeren	kluizenaarse	N(plu)
en	en	Conj(coord)
veel	veel	Num(indef)
edellieden	edelheid	N(plu)
doen	toen	V(infin)
moest	moeten	v(fin,past,aux_cop)
dragon	dragen	V(infin)
daer	daar	Adv(dem)
oock	ook	Adv(gener)
bieden	bieden	V(infin)
februs	gebruik	N(prop)
die	de	Art(def)
stadt	stad	N(sing)
middelburch	middelburg	N(prop)
den	de	Art(def)
prins	prins	N(sing)
dwelck	de+welke	Art(def)+Pron(rel)
corts	kort	Adv(gener)
daer	daar	Adv(dem)
na	na	Adp()
tontset	het+vinden	n(sing)
bedieden	beduiden	v(infin)
van	van	adp()
leyden	leiden	n(sing)
door	door	Adp()
veel	veel	Num(indef)
storm	storm	N(sing)
en	en	Conj(coord)
wints	wind	N(sing)
octobr	oktober	N(prop)
maer	maar	conj(coord)
eer	eer	conj(subord)
niet	niet	Adv(neg)
lang	lang	adv(gener)
werd	worden	V(fin,past,aux_cop)
door	door	Adp()
bedwang	bedwang	N(sing)
augu	afgod	N(sing)
ouwater	onweer	N(sing)
heel	heel	Adv(gener)
int	in+het	Adp()+Art(def)
sant	zand	N(sing)
verbrant	verbranden	V(participle,past)
maer	maar	Conj(coord)
int	in+het	Adp()+Art(def)
bolwerck	volwerken	N(sing)
te	te	adp()
krimperkerck	brinckerinck	n(prop)
haelden	halen	V(fin,past,lex)
sy	zij	Pron(pers,3,plu)
weder	weer	Adv(gener)
schant	schande	N(sing)
antwerpen	antwerpen	v(infin)
den	de	Art(def)
maer	maar	Conj(coord)
wel	wel	adv(gener)
vernam	vernemen	v(fin,past,lex)
febru	gebruik	n(prop)
door	door	Adp()
moort	moord	N(sing)
roof	roof	N(sing)
branden	branden	N(plu)
vrouwen	vrouw	N(plu)
schoffieren	schouwveger	N(plu)
novem	noemen	n(sing)
daer	daar	Adv(dem)
na	na	adp()
don	doen	v(infin)
jan	johannes	n(prop)
tot	tot	Adp()
bruyssel	brussel	N(prop)
quam	komen	V(fin,past,lex)
meye	mei	n(prop)
thoonde	tonen	Art(def)+N(sing)
corts	korts	Adv(gener)
zijn	zijn	Pron(poss)
quae	kwaad	Adj()
manieren	manier	N(plu)
janua	johannes	n(prop)
die	de	art(def)
lieden	lieden	n(plu)
slants	het+land	v(fin,pres,lex)
int	het+in	art(def)+adp()
regieren	regeren	n(sing)
namen	naam	V(fin,past,lex)
tot	tot	Adp()
hulp	hulp	N(sing)
den	de	Art(def)
franschen	prins	Adj()
heer	heer	N(sing)
daer	daar	Adv(dem)
nae	na	Adp()
werdt	worden	V(fin,pres,aux_cop)
den	de	Art(def)
prins	prins	N(sing)
goedertieren	goedertieren	Adj()
mart	maar	N(sing)
int	in+het	Adp()+Art(def)
hooft	hoofd	N(sing)
gheschoten	geschut	V(participle,past)
tghenas	het+gepeins	Art(def)+N(sing)
weer	zijn	v(fin,past,aux_cop)
doen	doen	v(infin)
werde	worden	V(fin,past,aux_cop)
lier	hier+lezen	Adj()
door	door	Adp()
sweert	zwaard	N(sing)
en	en	Conj(coord)
vier	vuur	n(sing)
gewonnen	gewinnen	v(participle,past)
met	met	adp()
verraet	verraden	adj()
seer	zeer	Adv(gener)
quaet	kwaad	Adj()
septem	september	N(sing)
daer	daar	Adv(dem)
teghen	tegen	Adp()
oock	ook	Adv(gener)
lochem	lokken	Adv(gener)
seer	zeer	Adv(gener)
cloeck	kloek	Adj()
ontset	ontzetten	V(participle,past)
tot	tot	Adp()
onser	ons	Pron(poss)
baet	baat	n(sing)
daer	daar	Adv(dem)
den	de	Art(def)
prins	prins	N(sing)
op	op	Adp()
hadde	hebben	V(fin,past,aux_cop)
ghestelt	stellen	v(participle,past)
janua	janus	n(prop)
sijn	zijn	Pron(poss)
hoop	hoop	N(sing)
en	en	Conj(coord)
na	na	Adp()
godt	god	N(sing)
zijn	zijn	Pron(poss)
betrouwen	betrouwen	N(sing)
vilvoort	oplopen	N(sing)
meende	menen	V(fin,past,lex)
antwerpen	antwerpen	v(infin)
met	met	Adp()
ghewelt	geweld	N(sing)
tovervallen	ondervallen	N(plu)
en	en	Conj(coord)
te	te	Adp()
benouwen	benauwen	V(infin)
dermont	daar+het+men	N(sing)
maer	maar	Conj(coord)
veel	veel	num(indef)
quamen	komen	V(fin,past,lex)
daer	daar	Adv(dem)
door	door	Adp()
in	in	Adp()
rouwen	rouw	V(infin)
duynkercken	dorperlijk	V(infin)
die	die	pron(rel)
wel	wel	adv(gener)
meenden	menen	v(fin,past,lex)
te	te	Adp()
zijn	zijn	V(infin)
verblijt	verblijden	V(participle,past)
dixmuyden	de+onkunde	N(sing)
den	de	art(def)
hertoch	hertog	n(sing)
somen	som	pron(indef)
mocht	mogen	v(fin,past,aux_cop)
aenschouwen	aanschouwen	v(infin)
duck	dik	Adv(gener)
d	de	Art(def)
'	?	punc(quest)
alenson	halen	Adv(gener)
maeckte	maken	v(fin,past,lex)
ons	wij	pron(pers,1,plu)
doen	doen	V(infin)
